product_url,brand,breadcrumbs,care_instruction,country_of_origin,description,dimensions,fabric_composition,fit,net_quantity,regular_price,selling_price,sku,title
https://styleunion.in/products/regular-fit-solid-calf-length-mid-rise-skirt-lsk00112?variant=46392815059193,Style Union,Home > Calf Length Solid Betty Skirt With Side Slit And Patch Pockets,Hand Wash 30°C\n        Do Not Bleach\n        Wash Separately\n        Hang Dry In Shade\n        Hot Iron\n        Do Not Dry Clean\n        Do Not Iron On Embellishment\n        This Garment Has Tendency To Fade,India,"Experience the perfect blend of comfort and style with our Regular Fit Solid Calf Length Mid Rise Skirt. Crafted from 100% nylon, this skirt offers a smooth and lightweight feel, making it an ideal choice for any occasion. Its solid pattern and mid-rise waist provide a versatile look that can easily transition from day to night.\n      \n        \nComfortable Fit: The regular fit ensures a relaxed and comfortable wear, perfect for all-day use.\n        \nPractical Pockets: Equipped with 4 pockets, this skirt offers ample space to keep your essentials close at hand.\n        \nVersatile Style: The solid pattern and calf length make it suitable for both casual outings and formal events.\n      \n      Whether you're heading to the office or out for a weekend brunch, this skirt is your go-to choice for effortless elegance and practicality.","XS, S, M, L, XL, XXL",100% Nylon,Regular Fit,1,₹499,₹499,8909001606117,Calf Length Solid Betty Skirt With Side Slit And Patch Pockets
https://styleunion.in/products/printed-knee-length-yoke-straight-table-kurta-iest00087?variant=46284072550649,Style Union,Home > Knee Length Straight Printed Yoke Kurta,Hand Wash 30°C. Wash Dark Colours Separately. Do Not Bleach. Line Dry. Do Not Iron On Embellishment. Cool Iron. Do Not Dry Clean.,India,"Experience the perfect blend of style and comfort with our Knee Length Straight Printed Yoke Kurta. Crafted from 100% Rayon, this kurta offers a soft, breathable feel that keeps you comfortable all day long. The elegant printed pattern adds a touch of sophistication, making it versatile for both casual outings and festive occasions. \n\n      \n        \nComfortable Fabric: The 100% Rayon fabric ensures a lightweight and airy feel, perfect for warm weather.\n        \nStylish Design: The printed yoke and straight cut provide a modern yet traditional look, ideal for any event.\n        \nPractical Pocket: Includes a convenient pocket for small essentials, adding functionality to fashion.\n        \nVersatile Wear: Suitable for both casual and semi-formal settings, making it a wardrobe staple.\n      \n\n      Whether you're heading to a casual brunch or a festive gathering, this kurta is your go-to choice for effortless elegance and comfort.","S, M, L, XL, XXL",100% Rayon,Straight Fit,1,₹399,₹399,8909001597842,Knee Length Straight Printed Yoke Kurta
https://styleunion.in/products/regular-fit-printed-dress-wd00011?variant=46284783714553,Style Union,Home > Regular Fit Printed Dress,Delicate Hand Wash. Do Not Wring.  Flat Dry.  Do Not Iron. Do Not Dry Clean. Do Not Iron On Embellishment. Wash Dark Colors Separately. Do Not Bleach.,India,"This printed pattern dress has a square neck and short sleeve. Made from polyester, it is soft and comfortable to wear.","XS, S, M, L, XL",Polyester,Regular Fit,1,₹899,₹899,8909001361276,Regular Fit Printed Dress
https://styleunion.in/products/straight-fit-printed-kurta-ek00332?variant=46285312327929,Style Union,Home > Straight Fit Printed Kurta,Hand Wash 30°C. Wash Dark Colours Separately. Do Not Bleach. Line Dry. Do Not Iron On Embellishment. Cool Iron. Do Not Dry Clean,India,"This printed pattern kurta has a lapel collar and three-fourth sleeve. Made from rayon, it is soft and comfortable to wear.","S, M, L, XL, XXL",Rayon,Straight Fit,1,₹599,₹599,8909001392485,Straight Fit Printed Kurta
https://styleunion.in/products/printed-cotton-fabric-panties-panp00060?variant=46697780019449,Style Union,Home > Printed Cotton Panties - Pack of 3,"Hand Wash 30°C. Do Not Bleach. Wash Dark Colours Separately. Do Not Dry Clean. Do Not Iron, Line Dry.",India,"Experience the perfect blend of comfort and style with our Cotton Fabric Printed Bikini Panties. Designed for everyday wear, these panties offer a breathable and soft touch against your skin, ensuring you feel confident and comfortable all day long.\n      \n        \nBreathable Fabric: 100% cotton fabric ensures maximum breathability, keeping you cool and fresh.\n        \nPrinted Design: Adds a touch of style to your everyday essentials.\n        \nKnit Construction: Provides durability and a smooth finish for seamless comfort.\n        \nEveryday Wear: Perfect for daily use, offering support and comfort throughout the day.","S, M, L, XL, XXL",Cotton (100% Cotton),Bikini,1,₹199,₹199,8909001327876,Printed Cotton Panties - Pack of 3
https://styleunion.in/products/regular-fit-graphic-t-shirt-mgt00132?variant=46285196787961,Style Union,Home > Large Graphic Tees - Cotton Jersey Regular Fit T-Shirt,Machine Wash 40°C. Wash Dark Colours Separately. Do Not Bleach. Tumble Dry Low. Warm Iron. Do Not Dry Clean,India,"This graphic pattern t-shirt has a crew neck and half sleeve. Made from cotton, it is soft and comfortable to wear.","XS, S, M, L, XL, XXL",Cotton,Regular Fit,1,₹299,₹299,8909001227589,Large Graphic Tees - Cotton Jersey Regular Fit T-Shirt
https://styleunion.in/products/girls-woven-jogger-gbtm00043?variant=46491925151993,Style Union,Home > Girls Woven Jogger,Machine Wash 40°C\n        Wash Dark Colours Separately\n        Do Not Bleach\n        Tumble Dry Low\n        Warm Iron\n        Do Not Dry Clean\n        Do Not Iron On Embellishment,India,"Experience the perfect blend of comfort and style with our Girls Woven Jogger. Crafted from 100% cotton, these joggers offer a soft touch against the skin, ensuring all-day comfort for your little one. The solid pattern and full-length design make it a versatile addition to any wardrobe, perfect for both casual outings and relaxed days at home.\n      \n        \n100% Cotton: Provides a soft, breathable fabric that keeps your child comfortable throughout the day.\n        \nWoven Fabric: Ensures durability and a structured fit that maintains its shape wear after wear.\n        \nSolid Pattern: Offers a classic look that pairs easily with any top.\n        \nFull Length: Provides complete coverage and warmth, ideal for cooler days.\n        \nMid Rise Waist: Offers a comfortable fit that sits naturally on the waist.\n        \n8 Pockets: Provides ample storage for small essentials, making it practical for everyday wear.\n      \n      These joggers are perfect for school, playdates, or lounging at home, offering a relaxed fit that allows for easy movement and play. Let your child enjoy the freedom and comfort of these stylish joggers.","2 YRS, 4 YRS, 6 YRS, 8 YRS, 10 YRS, 12 YRS, 14 YRS",100% Cotton,Regular Fit,1,₹599,₹599,8909001742099,Girls Woven Jogger
https://styleunion.in/products/round-neck-graphic-sweat-tee-ywswt00079?variant=46983022969081,Style Union,Home > Round Neck Graphic Sweat Tee,Machine Wash 40°C. Wash Dark Colours Separately. Do Not Bleach. Tumble Dry Low. Warm Iron. Do Not Dry Clean. Do Not Iron On Embellishment.,India,"Experience the ultimate blend of comfort and style with our Oversize Cotton Graphic Sweat Tee. Crafted from 100% cotton, this tee offers a soft, breathable feel that keeps you comfortable all day long. The oversized fit provides a relaxed, easygoing vibe, perfect for casual outings or lounging at home. The vibrant graphic pattern adds a touch of personality, making it a standout piece in any wardrobe.\n\n      \n        \nComfortable Fabric: Made from 100% cotton, ensuring a soft touch against your skin and breathability for all-day wear.\n        \nStylish Design: The graphic pattern brings a fun and trendy element to your outfit, perfect for expressing your unique style.\n        \nVersatile Fit: The oversized fit offers a laid-back look, ideal for pairing with jeans or leggings for a chic, effortless ensemble.\n        \nEasy Care: Machine washable, making it convenient to keep your tee looking fresh and new.\n      \n\n      Whether you're heading out for a casual day with friends or enjoying a cozy day indoors, this sweat tee is your go-to choice for effortless style and comfort.","XS, S, M, L, XL, XXL",100% Cotton,Oversize,1,₹599,₹599,8909001977170,Round Neck Graphic Sweat Tee
https://styleunion.in/products/sleeveless-printed-tiered-dress-nd00137?variant=47293675438329,Style Union,Home > Sleeveless Printed Tiered Dress,Hand Wash 30°C. Wash Dark Colours Separately. Do Not Bleach. Line Dry. Do Not Iron On Embellishment. Cool Iron. Do Not Dry Clean,India,"Elevate your wardrobe with our Sleeveless Printed Tiered Dress, designed for women who appreciate style and comfort. Crafted from soft rayon, this dress features a chic printed pattern that adds a vibrant touch to any occasion.\n\nFlare fit silhouette flatters your figure while allowing for easy movement, perfect for day or night wear.\nAbove-knee length offers a playful yet sophisticated look, ideal for warm weather outings or casual gatherings.\nThe band neck design ensures a polished appearance, seamlessly blending elegance with modern style.\nIncludes a discreet pocket for convenience, allowing you to carry essentials without compromising aesthetics.\n\nPair this dress with sandals for a relaxed daytime look or dress it up with heels for evening events.","XS, S, M, L, XL",Rayon,Flare Fit,1,₹699,₹699,8909001981931,Sleeveless Printed Tiered Dress
https://styleunion.in/products/women-solid-sling-bag-lsb0040?variant=46935029383417,Style Union,Home > Women Solid Sling Bag,"Hand Wash 30°C, Wash Dark Colours Separately. Do Not Bleach. Flat Dry. Cool Iron. Do Not Dry Clean.",India,"Discover the perfect blend of style and functionality with our Women's Polyurethane Sling Bag. Crafted with precision, this bag offers a sleek and modern design that complements any outfit. Its durable construction ensures longevity, making it an essential accessory for your daily adventures. Whether you're heading to a casual outing or a formal event, this sling bag adapts effortlessly to your needs.\n\n\nDurable Material: Made from 100% Polyurethane, this bag is designed to withstand daily wear and tear, ensuring it remains a staple in your wardrobe.\n\nVersatile Design: The woven pattern adds a touch of elegance, making it suitable for both casual and formal occasions.\n\nConvenient Length: The sling bag length offers easy access and comfortable wear, perfect for on-the-go lifestyles.\n\nElevate your accessory game with this stylish sling bag, perfect for adding a touch of sophistication to any ensemble.",FS,100% Polyurethane,,1,₹299,₹299,8909063109533,Women Solid Sling Bag
