project_id,name,url,developer_name,main_office,construction_start_date,construction_end_date,price_from,district,floors,amenities,description,furnishing,service_charge,resale_conditions,unit_types,cover_image_url
3095,Rove Home Meydan Horizon,https://find.reelly.io/projects/3095,ALAIN,"Al Ain Tower, PO Box 6755
Abu Dhabi, UAE",,2029-12-31,1463000,Meydan,B + G + 3P + 20floors,"Swimming Pool, Jogging Track, Co-working Terrace, Outdoor Cinema & Gaming, Gym, Rove Cafe, Co-working Space, Pool Deck, Putting Green, Gaming Room, Padel Court, Basketball Court","Project general facts Rove Home Meydan introduces a fresh, energetic approach to modern living, proudly branded under the Rove Hotels name and inspired by the lifestyle-forward philosophy of the Rove brand. Set within the vibrant heart of Meydan, the development blends stylish architecture with urban functionality, offering residents direct access to one of Dubai’s most well-connected and rapidly evolving districts. With views of the skyline and convenient routes to key landmarks, the project captures the essence of contemporary Dubai living, where convenience, design, and community come together effortlessly. Inside the community, Rove Home emphasizes social living and active lifestyles. Carefully designed leisure decks, landscaped outdoor zones, and elevated podium experiences create a dynamic environment for relaxation, wellness, and recreation. Whether enjoying the swimming pools, jogging along rooftop tracks, practicing outdoor yoga, or meeting friends in the residents’ lounge, residents experience a seamless blend of work, play, and wellbeing. A wide range of amenities further enriches the lifestyle offering, including co-working and meeting rooms, working pods, entertainment areas, putting greens, an outdoor cinema, steam room, jacuzzi, gyms, cabanas, multi-functional rooms, concierge service, reception, Rove Café, and free Wi-Fi in public spaces. This comprehensive amenity mix reinforces the project’s identity as a vibrant, socially connected urban hub designed for modern city dwellers. The brochure emphasizes a modern, youthful design language with clean lines, warm textures, and lifestyle-oriented interior environments. Visuals on multiple pages highlight contemporary finishes, large windows, open layouts, and vibrant communal spaces. While specific brands for kitchens or furniture are not mentioned, the design approach reflects Rove’s signature style: practical, polished, comfortable, and tailored for a contemporary urban experience. Location description and benefits Meydan City is an extraordinary community situated in the heart of Dubai, known for its blend of luxury, sophistication, and world-class amenities. Spanning over a vast area, Meydan City offers a unique living experience that combines urban convenience with a tranquil and scenic environment. One of the standout features of Meydan City is its iconic Meydan Racecourse, which hosts renowned horse racing events, including the prestigious Dubai World Cup. The racecourse creates an aura of excitement and elegance, attracting enthusiasts from around the world. Residents of Meydan City have the privilege of witnessing the thrilling races firsthand and immersing themselves in the vibrant atmosphere that surrounds this prestigious venue. Green spaces are integral to the design of Meydan City, with expansive parks, landscaped gardens, and tree-lined boulevards adorning the community. Residents can enjoy leisurely walks, bike rides, or picnics in these serene surroundings, offering a refreshing escape from the bustling city life. The abundance of open spaces also provides opportunities for outdoor activities and social gatherings, fostering a sense of community and well-being.",yes,24 AED/sqft,30,Apartments,https://reelly-backend.s3.amazonaws.com/projects/3095/images/9772ab9a462e43f8b97ced8419e458a3.webp
3211,Sanctuary,https://find.reelly.io/projects/3211,Prestige One Developments,"Office No 1604, 16th Floor, Marina Plaza, Dubai Marina, Dubai, UAE",,2028-12-31,1840000,Ras Al Khor,G + 2P + 21floors,"Gym, Sauna, Indoor Cinema, Kids Play Area, Games Area, Swimming Pool, BBQ Area, Mini Picnic Park, Jacuzzi, Tranquility Seating with Bonsai Trees","Project general facts Sanctuary is a refined residential development set within the prestigious Meydan district, uniquely positioned beside the Ras Al Khor Wildlife Sanctuary. The project’s architecture reflects modern sophistication, with a sculpted façade of glass and clean geometry designed to maximize natural light and panoramic views. Sanctuary offers a rare balance between urban elegance and nature, providing residents with uninterrupted vistas of the Dubai skyline and protected natural landscapes, while remaining minutes from Downtown Dubai and major city arteries. The project features an extensive collection of resort-style amenities thoughtfully distributed across dedicated lifestyle levels. Residents enjoy landscaped serenity gardens, waterfall features, sunken island pools, infinity pools, outdoor fitness areas, kids’ pools and play zones, BBQ areas, outdoor cinema, jacuzzi, spa-style relaxation pools, and sky gardens with observation decks. Indoor amenities include a state-of-the-art gym, sauna, indoor cinema, games area, and family-friendly communal spaces, creating a holistic living environment focused on wellness, leisure, and community. Interiors at Sanctuary are designed to reflect calm, comfort, and contemporary luxury. Living spaces are bright and spacious, enhanced by large windows that frame natural and skyline views. The residences are delivered without furniture, and interior specifications follow a standard of high-quality finishes with modern materials, aligned with the project’s premium positioning. The overall interior concept emphasizes timeless design, functional layouts, and a serene atmosphere that complements the project’s nature-inspired setting. Location description and benefits Ras Al Khor is one of Dubai’s hidden gems, where urban convenience meets the untouched beauty of nature. Located just minutes from the city’s bustling center, this district is best known for the Ras Al Khor Wildlife Sanctuary, a protected reserve that is home to thousands of migratory birds, including the iconic pink flamingos. The area’s unique charm lies in its serene landscapes, offering residents and visitors a peaceful retreat from the dynamic energy of Dubai while still being well-connected to major landmarks and attractions. Beyond its natural wonders, Ras Al Khor is an emerging residential and commercial hub, offering a blend of modern infrastructure and tranquil surroundings. The district features a mix of upscale developments, spacious villas, and waterfront residences, all designed to provide a harmonious balance between luxury and sustainability. With easy access to Dubai Creek, Downtown Dubai, and major road networks, Ras Al Khor ensures a seamless lifestyle that combines convenience with scenic beauty. As Dubai continues to grow, Ras Al Khor remains a testament to the city's commitment to preserving its natural heritage while embracing modern progress. Future developments in the area promise to enhance its appeal with new residential communities, leisure destinations, and cultural attractions. Whether you are drawn to its stunning wildlife sanctuary, its picturesque waterfront views, or its growing urban landscape, Ras Al Khor offers a unique living experience where nature and city life coexist in perfect harmony.",only_kitchen,18 AED/sqft,40,Apartments,https://reelly-backend.s3.amazonaws.com/projects/3211/images/5d24b01f4e5146c69cfa5fcd8fd9601b.webp
3012,Binghatti Titania,https://find.reelly.io/projects/3012,Binghatti,"Binghatti Sales Center, Al Manara, Dubai, OAE",2025-10-01,2027-02-27,683999,Majan,3B + G + 4P + 32floors + M + R,"Gym, Swimming Pool, Kids' Play Area & Pool, Sunken Seat Area","Project general facts Binghatti Titania stands as a striking landmark in the heart of Majan, offering a collection of beautifully designed studio, 1 and 2 bedroom apartments that blend elegance with comfort. Its bold illuminated façade and refined geometry create a distinctive architectural statement, reflecting Binghatti’s renowned approach to modern sophistication. Every detail of the tower has been crafted to deliver a living experience that is both inspiring and effortlessly luxurious. Residents are welcomed into thoughtfully designed spaces enhanced by premium finishes, smart layouts, and abundant natural light. The interiors combine comfort and style, creating a calm retreat from the fast-paced city life. Each apartment reflects a perfect harmony of beauty and practicality, making it an ideal choice for those who appreciate quality and refinement. Binghatti Titania offers an array of lifestyle amenities that elevate daily living to new heights. Residents can enjoy an indoor gym for active well-being, a refreshing adults pool and a dedicated kids pool for family relaxation, as well as a sunken seat area ideal for social gatherings and peaceful moments. Surrounded by convenience and designed with care, Binghatti Titania captures the essence of contemporary urban living with elegance and grace. Finishing and materials Modern finishing with high quality materials and Smart Home System. Kitchen and appliances Equipped kitchens. Furnishing No. Location description and benefits Majan is a 1.5 million square meter district in Dubai. It is located at the heart of the large Dubailand community. Majan is a perfect place for those who are looking for a buy-to-invest property. While the community is developing, apartment prices have not yet reached their maximum values. If you want to purchase an off-plan housing unit, you can count on a good discount. With Sheikh Mohammed Bin Zayed Road at its front, Majan lies in close proximity to Al Ain Road. These roads provide Majan strategic access to Al Ain, Sharjah and Abu Dhabi. The area comprises 100 residential complexes, six iconic towers, four hotels and mixed-use units. The main advantage of Majan is its proximity to high-ranked schools, business and shopping centers, medical facilities, major amusement parks, and sports facilities. While the community boasts its excellent location and good infrastructure, rental rates are not as high as in the seashore or central parts of the emirate. Affordable prices attract locals and tourists who want to rent an apartment in a good area at an affordable price.",no,12-14 AED/sqft,40,Apartments,https://reelly-backend.s3.amazonaws.com/projects/3012/images/13ec23ae41504874a8025bad2a7e6c38.webp
3014,Symbolic Altus,https://find.reelly.io/projects/3014,Symbolic Real Estate Development L.L.C,"47-0, Latifa Bin Hamdan Street, Al Quoz 3, Sheikh Zayed Road, Dubai, UAE",2025-10-01,2027-09-29,999000,Wadi Al Safa 2,G + 9floors + R,"Rooftop Infinity Pool, Gymnasium, Jacuzzi, Kids Pool, Steam & Sauna, Jogging Track, Kids' Play Area, Basketball Court, Soccer Field","Project general facts Symbolic Altus by Symbolic Real Estate is an architectural statement within Jumeirah Village Circle, designed to embody modern living and urban harmony. The building’s refined façade and clean geometry complement landscaped surroundings, offering residents a serene environment within one of Dubai’s most connected communities. Balancing elegance and functionality, Altus represents a lifestyle where design, comfort, and simplicity flow together. Inside, each residence is planned with precision and grace. Open layouts, expansive windows, and refined finishes fill every space with light and calm. The interiors feature branded fixtures, smart-home automation, and contemporary materials that merge functionality with subtle luxury. Every one- and two-bedroom apartment captures the essence of sophisticated living — a modern home crafted for those who appreciate balance and beauty. The amenities at Symbolic Altus elevate daily life with resort-style leisure and wellbeing. Residents can enjoy an infinity pool, gym, sauna, steam room, yoga area, kids’ play zone, landscaped gardens, and a rooftop lounge. Supported by concierge services, valet parking, and 24-hour security, the residence blends privacy, comfort, and convenience — embodying the essence of contemporary Dubai living. Finishing and materials Modern finishing with high-quality materials and Smart Home System. Kitchen and appliances Equipped kitchens. Furnishing Yes. Location description and benefits Liwan, situated in the heart of Dubai, is a dynamic and well-integrated residential community that offers a harmonious blend of modern living, convenience, and tranquility. Designed to provide residents with a holistic lifestyle, Liwan boasts a wide array of amenities and facilities that cater to both practical needs and recreational desires. The community is characterized by its thoughtfully planned infrastructure, spacious landscaped parks, and pedestrian-friendly pathways, promoting a sense of connectivity and community engagement. With a mix of residential options including apartments and townhouses, Liwan caters to various family sizes and lifestyles. Liwan's central location ensures easy access to major road networks, making commuting and exploring the city a breeze. The presence of schools, mosques, retail centers, and recreational spaces within the community emphasizes its self-sustained nature, offering residents everything they need right at their doorstep.",yes,12-13 AED/sqft,,Apartments,https://reelly-backend.s3.amazonaws.com/projects/3014/images/2ea7bd67e0de495794448acfaa84f43c.webp
2512,Luzora Residence,https://find.reelly.io/projects/2512,Dia Development,"Al Salam Tower (Internet City), 24 floor, office 01, Dubai, UAE",2025-03-07,2027-06-30,1628481,Dubai Islands,G + 2P + 8floors,"Pool, Golf Carts, Electric Car Charges, Gym, Kids Play Area","Project general facts Nestled within the serene shores of Dubai Islands, Luzora Residences by DIA Development emerges as a refined symbol of modern coastal living. This eight-story residential project is thoughtfully designed to offer residents not only elegant, contemporary homes but also a lifestyle shaped by comfort, natural beauty, and urban accessibility. The architecture of Luzora is clean and confident, with minimalist lines and expansive glass elements that open up breathtaking views of the Arabian Gulf. Inside, the residences range from intimate one-bedroom apartments to spacious three-bedroom homes, each crafted with a strong attention to detail and a focus on light, openness, and flow. These interiors reflect a balance between sophistication and livability — open-plan layouts, high-quality finishes, and tranquil views create spaces that feel both luxurious and grounding. Life at Luzora is deeply enriched by its thoughtful amenities. Residents enjoy the comfort of a private beach, the energy of a modern fitness center, and the relaxation offered by an infinity pool that seems to merge with the ocean horizon. Children’s play areas and landscaped communal spaces encourage connection among neighbors, while 24-hour security and concierge services add an extra layer of comfort and convenience. Finishing and materials Modern finishing with high-quality materials Kitchen and appliances Equipped kitchens Furnishing Semi Furnished Location description and benefits Dubai Islands are a group of artificial islands located along the picturesque coastline of Dubai, United Arab Emirates. They stand as a symbol of the city's forward-thinking vision and drive for innovation in urban planning and luxurious lifestyles. Set against the turquoise waters of the Arabian Gulf, each island is thoughtfully crafted to combine serene coastal beauty with contemporary elegance. Residents and visitors alike can enjoy a peaceful escape while remaining just minutes away from Dubai’s lively city center. With sweeping views of the Dubai skyline and access to immaculate beaches, the islands offer the perfect mix of relaxation and connectivity. From scenic waterfront walkways to exciting water sports, Dubai Islands provide a wealth of leisure experiences. Modern infrastructure connects the islands effortlessly to the mainland, granting easy access to top-tier amenities, upscale shopping, fine dining, and entertainment hubs.",semi_furnished,16-18 AED/sqft,40,Apartments,https://api.reelly.io/vault/ZZLvFZFt/7QkEAqVKZ50a0qdWK31EcdI2mtY/lZplXw../27.jpg
1896,Porto View,https://find.reelly.io/projects/1896,Emaar,"Emaar Sales Center, Downtown Dubai, Dubai, UAE",2025-02-23,2028-10-31,3192888,Mina Rashid,G + P + 9floors + R,"State-Of-The-Art Fitness Centre, Lush, Landscaped Gardens, Chic Retail Outlets, Infinity Pool  With Panoramic Views, Play Areas For Children, Versatile Multipurpose Rooms, Yoga And Wellness Platforms, Bbq Areas","Project general facts Porto View is a luxurious waterfront residential development located in the prestigious Mina Rashid district of Dubai. Offering breathtaking views of the marina and beyond, the project is designed to enhance these panoramic vistas with expansive windows that invite natural light and frame the serene surroundings. With lush greenery and the tranquil ambiance of the marina, each residence at Porto View is a retreat into luxury and nature. The project offers a range of residences, including one, two, and three-bedroom apartments, as well as exclusive townhouses. Its architectural design combines elegance and functionality, ensuring that every home maximizes the stunning waterfront views. Porto View’s prime location bridges the historic charm of Dubai with modern city living, offering both the vibrancy of the marina and the convenience of being well-connected to the heart of the city. Residents at Porto View will enjoy a wide array of amenities, including an infinity pool, fitness center, children's play areas, and multipurpose rooms. An expansive landscaped podium creates a space for relaxation and interaction, while additional pools and green spaces provide a serene environment for unwinding. The blend of luxury and waterfront living makes Porto View a unique and sought-after destination for modern living. Finishing and materials Modern finishing with high-quality materials. Kitchen and appliances Equipped kitchen. Furnishing No. Location description and benefits Rashid Yachts & Marina is the new global destination for discerning yacht owners to experience Dubai’s buzzing scene in an elegant environment where beauty and luxury collide. Designed to encapsulate the ultimate modern waterfront architecture, it combines luxury residences and a full-service marina with an appealing mix of restaurants and shops. The new Marina at Rashid Yachts & Marina offers convenient, hassle-free access to Dubai, accommodating 430 wet berths for yachts up to 100m long with a range of flexible berthing options, from a single night through to seasonal and annual stays. You will benefit from the Marina’s state-of-the-art facilities, an expert, multilingual marina team offering yacht assistance around the clock, and a host of amenities and services you will find at your disposal. A luxurious residential haven with modern amenities, beautiful scenery, and access to exciting local hotspots, Rashid Yachts & Marina is the perfect place to relax and explore in proximity to some of Dubai’s most exciting attractions.",no,23-25 AED/sqft,50,Apartments,https://api.reelly.io/vault/ZZLvFZFt/XEe6C2urLxNW_320immgPjX8QG8/gQjrUw../cover.jpg
3060,Zyra Hills,https://find.reelly.io/projects/3060,Laraix Group,"Office 1803, Exchange Tower, Business Bay, Dubai, UAE",,2028-06-30,584700,Warsan 4,B + G + 7floors,"Outdoor Cinema, Kids’ Play Area, Tranquil Yoga Garden, Basketball Court, Outdoor Sitting Areas, Beach Pool, Fully Equipped Gym, Mini Golf Area","Project general facts Zyra Hills by Laraix Developers redefines the meaning of urban tranquility, offering a seamless fusion of contemporary architecture and natural serenity. Following the success of Zyra Vista, this masterpiece rises in Al Warsan 4, surrounded by greenery and calm, yet connected to the vibrant pulse of Dubai. Its graceful façade and thoughtfully designed spaces create an atmosphere of refined living where every detail evokes balance, beauty, and sophistication. Inside, the residences are designed for comfort and elegance, with open layouts, refined finishes, and a natural color palette that enhances light and space. Each home invites residents into a peaceful retreat — an intimate sanctuary that blends modern design with a sense of harmony and warmth. The interiors capture the essence of serenity, crafted to provide both style and functionality for contemporary living. Zyra Hills is enriched with resort-style amenities that elevate daily life into a luxurious experience. Residents can unwind by the beach pool, enjoy the outdoor cinema, or relax in the tranquil yoga garden. Families will appreciate the kids’ play areas, while fitness enthusiasts benefit from the fully equipped gym, basketball court, and mini golf area. Every feature of Zyra Hills reflects Laraix’s dedication to creating a lifestyle that is both elegant and enriching. Finishing and materials Modern finishing with high-quality materials. Kitchen and appliances Equipped kitchens. Furnishing Yes. Location description and benefits Warsan 4 epitomizes contemporary lifestyle, boasting meticulously designed residences that cater to the diverse needs of its residents. From stylish apartments to spacious villas, each home is crafted with precision, featuring elegant finishes and state-of-the-art facilities, ensuring a luxurious living experience. Beyond its exceptional residences, Warsan 4 offers a wealth of amenities within easy reach. Residents can indulge in shopping at nearby malls, dine at a variety of restaurants, or unwind in lush parks and recreational spaces. With its strategic location, Warsan 4 provides seamless connectivity to key destinations across Dubai, making it an ideal choice for both professionals and families alike. As the sun sets over the glittering skyline of Dubai, Warsan 4 comes alive with its vibrant community spirit, offering residents a haven of tranquility amidst the bustling city life. Discover the allure of Warsan 4, where urban sophistication meets unparalleled comfort in the heart of Dubai's International City.",yes,12 AED/sqft,30,Apartments,https://reelly-backend.s3.amazonaws.com/projects/3060/images/21b8d500d280472cb79554dbe4d7eeea.webp
3181,Manchester City Yas Residences by Ohana,https://find.reelly.io/projects/3181,Ohana Developments,"Tamouh Tower, Reem Island, Abu Dhabi, UAE",,,2000000,Abu Dhabi,"G + 1floor, G + 8floors, G + 3floors","Recovery Pier, Oxygen Therapy Room, Hydrotherapy Circuit, Gym & Fitness Center, Altitude / Heat Room, Fine Dining Organic, The Cafe, Roof Top Pool, The Brand's Academy, The Central Garden, Sports Complex, Heritage Center, Skybox Lounge, Trophy Gallery, Canal Sports Lounge, Watersports Club, Manchester City Training Academy, Mosque, Altitude / Heat Training Room, Spa & Sauna, Mind Studio, Retail, Youth Programs, Medical Center & Clinics, City Lounge, Tactical Room, Crystal Lagoon, Canal Promenade, Canal View, Cryotherapy & Infrared Suites, Organic Fine Dining Restaurant, City Cafe, Match Day Terrace, Green Area","Project general facts Manchester City Residences by Ohana Development is a landmark football-branded waterfront community on Yas Island, Abu Dhabi, created in partnership with one of the most influential football clubs in the world - Manchester City. This is not a decorative branding exercise. The club’s philosophy, culture and lifestyle are embedded into the DNA of the project, shaping the environment, amenities, and everyday experience of residents. The project is designed around the idea of performance, discipline, growth and belonging - the same values that define Manchester City on the global stage. Architecture, public spaces, landscapes and community planning reflect a balance between elite performance and refined lifestyle. The masterplan promotes movement, wellbeing, social connection and purpose-driven living through walkable layouts, generous green zones, waterfront promenades and thoughtfully designed communal areas. Residents live inside an ecosystem where football culture is tangible. A globally branded Manchester City sports academy operates directly within the community, offering professional training programs, youth development pathways and authentic club methodologies. Signature sports facilities, interactive club-inspired spaces and curated experiences connect residents with the identity of Manchester City in a meaningful, daily way. The residential offering includes waterfront apartments, townhouses, twin villas and expansive villas, each designed with contemporary aesthetics, functional layouts and a strong emphasis on comfort and quality of life. More than half of the development is dedicated to green landscapes, wellness areas and outdoor recreation, reinforcing the project’s core idea - a lifestyle built around health, energy, ambition and belonging to something globally significant. Manchester City Residences by Ohana is not just real estate. It is a rare intersection of global sport, identity, community and long-term value. Location description and benefits Yas Canal represents one of the most refined waterfront environments on Yas Island, defined by open water views, architectural harmony and a sense of understated prestige. The canal shapes the atmosphere of the area, creating a calm, private and visually compelling residential setting while remaining fully connected to the island’s key destinations. This location naturally supports the lifestyle concept of the project. Waterfront promenades, landscaped walkways and open green corridors encourage daily movement and outdoor living. Cafés, leisure spaces and pedestrian-friendly planning foster social interaction and a sense of community that aligns seamlessly with the philosophy of Manchester City - connection, belonging and shared identity. Connectivity is effortless. Residents enjoy direct access to Yas Island’s major attractions, retail destinations, hospitality landmarks and cultural venues, while benefiting from the privacy and exclusivity of a canal-side environment. The area offers a rare balance between energy and tranquility. From an investment perspective, Yas Canal stands out due to its limited waterfront supply, strong urban planning fundamentals and growing international appeal. Combined with the global power of the Manchester City brand, the location supports long-term desirability, liquidity and value resilience.",no,,,"Apartments, Penthouse, Townhouse, Villa",https://reelly-backend.s3.amazonaws.com/projects/3181/images/961b0d6734244879bb00fd216fcf364b.webp
3121,Magnolia,https://find.reelly.io/projects/3121,Palladium Prime Real Estate Development,"Office 603, floor 6, Arjaan Office Tower, Al Sufouh 2, Dubai, UAE",,2028-09-30,1250000,Meydan,2B + G + 5floors,"Gym, Pool Lounge, Coworking Zone, Outdoor Cinema, Retail Outlets, Sauna","Project general facts Magnolia embodies a refined balance of calm sophistication and contemporary vision, creating an atmosphere where elegance feels effortless. Its architectural silhouette is defined by clean lines, warm tones, and a serene aesthetic that evokes a sense of harmony from the very first impression. Crafted with a focus on design excellence, the project reflects thoughtful spatial planning and a cohesive visual identity. Every detail — from the interplay of textures to the curated interior concept — reinforces a sense of refined modern living. Residents enjoy a lifestyle shaped by comfort and connection, with amenities designed to elevate everyday living. Communal areas encourage relaxation and social interaction, while a selection of leisure facilities supports wellness, convenience, and a sense of belonging. High-quality materials and meticulous finishing define every residence, complemented by elegant fittings and durable surfaces. Kitchens are fully equipped for practical daily use, and the furnishing approach unites functionality with a contemporary aesthetic, ensuring each home is ready to welcome its residents. Location description and benefits Dubai Internet City (DIC) stands as a prominent hub for technology and innovation in the heart of Dubai. Established to foster the growth of the IT industry, DIC has evolved into a dynamic business community that attracts global tech giants, startups, and entrepreneurs. Strategically located, DIC offers state-of-the-art infrastructure and a supportive ecosystem for companies across the technology spectrum. The free economic zone provides a conducive environment for collaboration, research, and development, making it a vital center for digital transformation. DIC's vibrant landscape hosts a diverse range of businesses, from multinational corporations to cutting-edge startups, all contributing to Dubai's position as a global technology and innovation hub. With its forward-thinking approach and commitment to fostering technological advancements, Dubai Internet City remains at the forefront of shaping the future of the digital landscape in the region.",no,,40,Apartments,https://reelly-backend.s3.amazonaws.com/projects/3121/images/c34c2fcdebe84ac694accbde2003d9ee.webp
2958,The Tranquil at Sobha Central,https://find.reelly.io/projects/2958,Sobha,"Sobha Sapphire Building, Al Khaleej Al Tejari 2 Street, Business Bay, Dubai, UAE",,2029-12-31,1853656,Sobha Central,G + 13P + 60floors,"Family Barbecue Gathering Space , Yoga Studio & Meditation Room, Children’S Play Area , Jogging Track, Outdoor Cinema, Open Plaza With Water Feature & Sculpture, Outdoor Sitting Area Pockets , Steam & Sauna With Changing Rooms , Multipurpose Hall, Library, Fitness Studio & Spinning Room , Business Centre , Swimming Pools, Sport Courts, Outdoor Games , Open Activity, Picnic & Event Lawn ","Project general facts The Tranquil at Sobha Central stands as a pinnacle of modern urban living, rising gracefully along Dubai’s iconic Sheikh Zayed Road. Strategically located at the crossroads of business, leisure, and culture, this architectural marvel offers more than just a place to live - it invites residents into a dynamic lifestyle where the city’s energy becomes a part of everyday life. With its sleek design and panoramic skyline views, The Tranquil at Sobha Central embodies elegance and ambition in equal measure. The residences within The Tranquil at Sobha Central are a masterclass in refined design, with layouts that maximize natural light and space, complemented by tasteful finishes that blend form and function. Floor-to-ceiling windows frame breathtaking views of the city and the landscaped podium gardens, while the interiors exude understated luxury. Each home is a private sanctuary, crafted for those who seek beauty in every detail and comfort in every corner. Residents enjoy access to a wide range of amenities, designed to enrich daily life - from a shopping mall, cinema, and fitness studios to co-working lounges, wellness centers, and serene green spaces. Families benefit from vibrant children’s play areas, while adults can unwind in spa zones, barbecue pavilions, an open-air amphitheater, and a putting green. The Tranquil at Sobha Central isn’t just a place to reside - it’s a fully realized lifestyle destination where sophistication and serenity coexist seamlessly. Finishing and materials Modern finishing with high-quality materials. Kitchen and appliances Equipped kitchens. Furnishing No. Location description and benefits Discovery Gardens is a vibrant and well-established residential community in Dubai, known for its lush green landscapes, spacious layouts, and affordable yet stylish living options. Nestled between Sheikh Zayed Road and Emirates Road, it offers residents quick access to key destinations such as Dubai Marina, Jumeirah Lake Towers (JLT), and Ibn Battuta Mall, making it a strategic location for both work and leisure. The area features a variety of apartment buildings inspired by garden living, each surrounded by greenery and walking paths. This peaceful environment makes Discovery Gardens especially appealing to families and young professionals seeking tranquility within the city. The neighborhood also offers a strong sense of community, with plenty of outdoor spaces, playgrounds, and everyday amenities just steps from home. With the nearby Discovery Gardens Metro Station on the Route 2020 extension, residents enjoy seamless connectivity to Expo City Dubai and the rest of the metro network. Whether you're commuting, shopping, or exploring the city, Discovery Gardens offers the comfort of suburban living with the convenience of urban access.",no,14 AED/sqft,50,Apartments,https://api.reelly.io/vault/ZZLvFZFt/5s0U1uBDHY1E4yx9L215fbfJ700/pE7biQ../10.jpg
