"unique_id"|"competitor_name"|"store_name"|"store_addressline1"|"store_addressline2"|"store_suburb"|"store_state"|"store_postcode"|"store_addressid"|"extraction_date"|"product_name"|"brand"|"brand_type"|"grammage_quantity"|"grammage_unit"|"drained_weight"|"producthierarchy_level1"|"producthierarchy_level2"|"producthierarchy_level3"|"producthierarchy_level4"|"producthierarchy_level5"|"producthierarchy_level6"|"producthierarchy_level7"|"regular_price"|"selling_price"|"price_was"|"promotion_price"|"promotion_valid_from"|"promotion_valid_upto"|"promotion_type"|"percentage_discount"|"promotion_description"|"package_sizeof_sellingprice"|"per_unit_sizedescription"|"price_valid_from"|"price_per_unit"|"multi_buy_item_count"|"multi_buy_items_price_total"|"currency"|"breadcrumb"|"pdp_url"|"variants"|"product_description"|"instructions"|"storage_instructions"|"preparationinstructions"|"instructionforuse"|"country_of_origin"|"allergens"|"age_of_the_product"|"age_recommendations"|"flavour"|"nutritions"|"nutritional_information"|"vitamins"|"labelling"|"grade"|"region"|"packaging"|"receipies"|"processed_food"|"barcode"|"frozen"|"chilled"|"organictype"|"cooking_part"|"handmade"|"max_heating_temperature"|"special_information"|"label_information"|"dimensions"|"special_nutrition_purpose"|"feeding_recommendation"|"warranty"|"color"|"model_number"|"material"|"usp"|"dosage_recommendation"|"tasting_note"|"food_preservation"|"size"|"rating"|"review"|"file_name_1"|"image_url_1"|"file_name_2"|"image_url_2"|"file_name_3"|"image_url_3"|"file_name_4"|"image_url_4"|"file_name_5"|"image_url_5"|"file_name_6"|"image_url_6"|"competitor_product_key"|"fit_guide"|"occasion"|"material_composition"|"style"|"care_instructions"|"heel_type"|"heel_height"|"upc"|"features"|"dietary_lifestyle"|"manufacturer_address"|"importer_address"|"distributor_address"|"vinification_details"|"recycling_information"|"return_address"|"alchol_by_volume"|"beer_deg"|"netcontent"|"netweight"|"site_shown_uom"|"ingredients"|"random_weight_flag"|"instock"|"promo_limit"|"product_unique_key"|"multibuy_items_pricesingle"|"perfect_match"|"servings_per_pack"|"warning"|"suitable_for"|"standard_drinks"|"environmental"|"grape_variety"|"retail_limit"
"5331"|"colruyt"|""|""|""|""|""|""|""|"2026-03-13"|"COCA-COLA Regular Original Taste"|"COCA-COLA"|""|"33"|"cl"|""|"Dranken"|"Frisdrank"|"Cola"|"Regular/Origna Taste"|"COCA-COLA Regular Original Taste"|""|""|"0.81"|"0.81"|""|""|""|""|""|""|""|""|""|""|"2.48"|""|""|"EUR"|"Dranken > Frisdrank > Cola > Regular/Origna Taste > COCA-COLA Regular Original Taste"|"https://www.colruyt.be/nl/producten/5331"|""|"Bruisend, Bevat cafeïne"|""|""|""|""|"BELGIË"|"Sulfieten"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"https://static.colruytgroup.com/images/500x500/std.lang.all/48/06/asset-3824806.jpg"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"33cl"|""|""|"True"|""|"5331P"|""|""|""|""|""|""|""|""|""
"5656"|"colruyt"|""|""|""|""|""|""|""|"2026-03-13"|"COCA-COLA Zero Sugar"|"COCA-COLA"|""|"33"|"cl"|""|"Dranken"|"Frisdrank"|"Cola"|"Zero/Light"|"COCA-COLA Zero Sugar"|""|""|"0.81"|"0.81"|""|""|""|""|""|""|""|""|""|""|"2.48"|""|""|"EUR"|"Dranken > Frisdrank > Cola > Zero/Light > COCA-COLA Zero Sugar"|"https://www.colruyt.be/nl/producten/5656"|""|"Bruisend, Met zoetstoffen, Bevat cafeïne"|""|""|""|""|"BELGIË"|"Sulfieten"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"https://static.colruytgroup.com/images/500x500/std.lang.all/47/89/asset-3824789.jpg"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"33cl"|""|""|"True"|""|"5656P"|""|""|""|""|""|""|""|""|""
"5531"|"colruyt"|""|""|""|""|""|""|""|"2026-03-13"|"RODEO energiedrank blik"|"RODEO"|""|"25"|"cl"|""|"Dranken"|"Frisdrank"|"Energydrinks"|"RODEO energiedrank blik"|""|""|""|"0.45"|"0.45"|""|""|""|""|""|""|"0.41 vanaf 24 st"|""|""|""|"1.8"|""|""|"EUR"|"Dranken > Frisdrank > Energydrinks > RODEO energiedrank blik"|"https://www.colruyt.be/nl/producten/5531"|""|"Energiedrank, Taurine/cafeïne"|""|""|""|""|"NEDERLAND"|"Sulfieten"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"https://static.colruytgroup.com/images/500x500/std.lang.all/66/18/asset-956618.jpg"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"25cl"|""|""|"True"|""|"5531P"|""|""|""|""|""|""|""|""|""
"5329"|"colruyt"|""|""|""|""|""|""|""|"2026-03-13"|"PEPSI Zero Sugar Cola"|"PEPSI"|""|"33"|"cl"|""|"Dranken"|"Frisdrank"|"Cola"|"Zero/Light"|"PEPSI Zero Sugar Cola"|""|""|"0.46"|"0.46"|""|""|""|""|""|""|""|""|""|""|"1.41"|""|""|"EUR"|"Dranken > Frisdrank > Cola > Zero/Light > PEPSI Zero Sugar Cola"|"https://www.colruyt.be/nl/producten/5329"|""|"Frisdrank, Cola, Met zoetstoffen"|""|""|""|""|"EUROPA"|"Sulfieten"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"https://static.colruytgroup.com/images/500x500/std.lang.all/82/80/asset-3428280.jpg"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"33cl"|""|""|"True"|""|"5329P"|""|""|""|""|""|""|""|""|""
"42810"|"colruyt"|""|""|""|""|""|""|""|"2026-03-13"|"COCA-COLA Regular Original Taste"|"COCA-COLA"|""|"1,5"|"L"|""|"Dranken"|"Frisdrank"|"Cola"|"Regular/Origna Taste"|"COCA-COLA Regular Original Taste"|""|""|"2.33"|"2.33"|""|""|"11-03-2026"|"24-03-2026"|""|""|""|""|""|"11-03-2026"|"1.56"|""|""|"EUR"|"Dranken > Frisdrank > Cola > Regular/Origna Taste > COCA-COLA Regular Original Taste"|"https://www.colruyt.be/nl/producten/42810"|""|"Bruisend, Bevat cafeïne"|""|""|""|""|"BELGIË"|"Sulfieten"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"https://static.colruytgroup.com/images/500x500/std.lang.all/24/06/asset-3182406.jpg"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1,5L"|""|""|"True"|""|"42810P"|""|""|""|""|""|""|""|""|""
"5214"|"colruyt"|""|""|""|""|""|""|""|"2026-03-13"|"RED BULL energiedrank"|"RED BULL"|""|"25"|"cl"|""|"Dranken"|"Frisdrank"|"Energydrinks"|"RED BULL energiedrank"|""|""|""|"1.17"|"1.17"|""|""|""|""|""|""|""|""|""|""|"5.0"|""|""|"EUR"|"Dranken > Frisdrank > Energydrinks > RED BULL energiedrank"|"https://www.colruyt.be/nl/producten/5214"|""|"Energiedrank, Taurine/Cafeïne"|""|""|""|""|"OOSTENRIJK"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"https://static.colruytgroup.com/images/500x500/std.lang.all/71/79/asset-387179.jpg"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"25cl"|""|""|"True"|""|"5214P"|""|""|""|""|""|""|""|""|""
"5013"|"colruyt"|""|""|""|""|""|""|""|"2026-03-13"|"EVERYDAY cola regular"|"EVERYDAY"|""|"1,5"|"L"|""|"Dranken"|"Frisdrank"|"Cola"|"Regular/Origna Taste"|"EVERYDAY cola regular"|""|""|"0.56"|"0.56"|""|""|""|""|""|""|""|""|""|""|"0.38"|""|""|"EUR"|"Dranken > Frisdrank > Cola > Regular/Origna Taste > EVERYDAY cola regular"|"https://www.colruyt.be/nl/producten/5013"|""|"Bruisend, Bevat cafeïne"|""|""|""|""|"BELGIË"|"Sulfieten"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"https://static.colruytgroup.com/images/500x500/std.lang.all/07/21/asset-640721.jpg"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1,5L"|""|""|"True"|""|"5013P"|""|""|""|""|""|""|""|""|""
"37990"|"colruyt"|""|""|""|""|""|""|""|"2026-03-13"|"COCA-COLA Zero Sugar"|"COCA-COLA"|""|"1,5"|"L"|""|"Dranken"|"Frisdrank"|"Cola"|"Zero/Light"|"COCA-COLA Zero Sugar"|""|""|"2.29"|"2.29"|""|""|"11-03-2026"|"24-03-2026"|""|""|""|""|""|"11-03-2026"|"1.53"|""|""|"EUR"|"Dranken > Frisdrank > Cola > Zero/Light > COCA-COLA Zero Sugar"|"https://www.colruyt.be/nl/producten/37990"|""|"Met zoetstoffen, Bevat cafeïne"|""|""|""|""|"BELGIË"|"Sulfieten"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"https://static.colruytgroup.com/images/500x500/std.lang.all/35/58/asset-3643558.jpg"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1,5L"|""|""|"True"|""|"37990P"|""|""|""|""|""|""|""|""|""
"5373"|"colruyt"|""|""|""|""|""|""|""|"2026-03-13"|"COCA-COLA Regular Original Taste"|"COCA-COLA"|""|"1"|"L"|""|"Dranken"|"Frisdrank"|"Cola"|"Regular/Origna Taste"|"COCA-COLA Regular Original Taste"|""|""|"1.50"|"1.50"|""|""|""|""|""|""|""|""|""|""|"1.5"|""|""|"EUR"|"Dranken > Frisdrank > Cola > Regular/Origna Taste > COCA-COLA Regular Original Taste"|"https://www.colruyt.be/nl/producten/5373"|""|"Bruisend, Bevat cafeïne"|""|""|""|""|"BELGIË"|"Sulfieten"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"https://static.colruytgroup.com/images/500x500/std.lang.all/24/04/asset-3182404.jpg"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1L"|""|""|"True"|""|"5373P"|""|""|""|""|""|""|""|""|""
"1189"|"colruyt"|""|""|""|""|""|""|""|"2026-03-13"|"BONI Iced Tea Peach niet-bruisend"|"BONI"|""|"1,5"|"L"|""|"Dranken"|"Frisdrank"|"Iced tea"|"Niet-bruisende Iced tea"|"BONI Iced Tea Peach niet-bruisend"|""|""|"0.81"|"0.81"|""|""|""|""|""|""|""|""|""|""|"0.55"|""|""|"EUR"|"Dranken > Frisdrank > Iced tea > Niet-bruisende Iced tea > BONI Iced Tea Peach niet-bruisend"|"https://www.colruyt.be/nl/producten/1189"|""|"Smaak: perzik, Niet-bruisend"|""|""|""|""|"DUITSLAND"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"https://static.colruytgroup.com/images/500x500/std.lang.all/41/55/asset-3224155.jpg"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1,5L"|""|""|"True"|""|"1189P"|""|""|""|""|""|""|""|""|""
