"unique_id"|"competitor_name"|"store_name"|"store_addressline1"|"store_addressline2"|"store_suburb"|"store_state"|"store_postcode"|"store_addressid"|"extraction_date"|"product_name"|"brand"|"brand_type"|"grammage_quantity"|"grammage_unit"|"drained_weight"|"producthierarchy_level1"|"producthierarchy_level2"|"producthierarchy_level3"|"producthierarchy_level4"|"producthierarchy_level5"|"producthierarchy_level6"|"producthierarchy_level7"|"regular_price"|"selling_price"|"price_was"|"promotion_price"|"promotion_valid_from"|"promotion_valid_upto"|"promotion_type"|"percentage_discount"|"promotion_description"|"package_sizeof_sellingprice"|"per_unit_sizedescription"|"price_valid_from"|"price_per_unit"|"multi_buy_item_count"|"multi_buy_items_price_total"|"currency"|"breadcrumb"|"pdp_url"|"variants"|"product_description"|"instructions"|"storage_instructions"|"preparationinstructions"|"instructionforuse"|"country_of_origin"|"allergens"|"age_of_the_product"|"age_recommendations"|"flavour"|"nutritions"|"nutritional_information"|"vitamins"|"labelling"|"grade"|"region"|"packaging"|"receipies"|"processed_food"|"barcode"|"frozen"|"chilled"|"organictype"|"cooking_part"|"handmade"|"max_heating_temperature"|"special_information"|"label_information"|"dimensions"|"special_nutrition_purpose"|"feeding_recommendation"|"warranty"|"color"|"model_number"|"material"|"usp"|"dosage_recommendation"|"tasting_note"|"food_preservation"|"size"|"rating"|"review"|"file_name_1"|"image_url_1"|"file_name_2"|"image_url_2"|"file_name_3"|"image_url_3"|"file_name_4"|"image_url_4"|"file_name_5"|"image_url_5"|"file_name_6"|"image_url_6"|"competitor_product_key"|"fit_guide"|"occasion"|"material_composition"|"style"|"care_instructions"|"heel_type"|"heel_height"|"upc"|"features"|"dietary_lifestyle"|"manufacturer_address"|"importer_address"|"distributor_address"|"vinification_details"|"recycling_information"|"return_address"|"alchol_by_volume"|"beer_deg"|"netcontent"|"netweight"|"site_shown_uom"|"ingredients"|"random_weight_flag"|"instock"|"promo_limit"|"product_unique_key"|"multibuy_items_pricesingle"|"perfect_match"|"servings_per_pack"|"warning"|"suitable_for"|"standard_drinks"|"environmental"|"grape_variety"|"retail_limit"
"3010892-1-0"|"aldi"|""|""|""|""|""|""|""|"2026-03-23"|"Energiedrank"|"MONSTER"|""|"500"|"ml"|""|"STARTPAGINA"|"PRODUCTEN"|"ASSORTIMENT"|"ALCOHOLVRIJE DRANKEN"|"ENERGY DRINKS EN SPORTDRANK"|"ENERGIEDRANK"|""|"1.75"|"1.75"|""|""|""|""|""|""|""|""|""|""|"3.50"|""|""|"EUR"|"STARTPAGINA > PRODUCTEN > ASSORTIMENT > ALCOHOLVRIJE DRANKEN > ENERGY DRINKS EN SPORTDRANK > ENERGIEDRANK"|"https://www.aldi.be/nl/p/artikel-3010892-1-0.article.html#/nl/producten/assortiment/alcoholvrije-dranken/energy-drinks-sportdrank"|""|"met appelsmaak, bevat taurine en cafeïne"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"https://www.aldi.be/content/aldi/belgium/promotions/source-localenhancement/2019/2019-01/2019-01-02/vast_assortiment/3010892/1/0/_jcr_content/assets/imported-images/BILD_INTERNET3/3010892_monster_met_appelsmaak_25-1.png/_jcr_content/renditions/opt.1250w.png.res/1748907462587/opt.1250w.png"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"500 ml"|""|""|""|""|"3010892-1-0P"|""|""|""|""|""|""|""|""|""
"3010893-1-0"|"aldi"|""|""|""|""|""|""|""|"2026-03-23"|"Energiedrank"|"MONSTER"|""|"500"|"ml"|""|"STARTPAGINA"|"PRODUCTEN"|"ASSORTIMENT"|"ALCOHOLVRIJE DRANKEN"|"ENERGY DRINKS EN SPORTDRANK"|"ENERGIEDRANK"|""|"1.45"|"1.45"|""|""|""|""|""|""|""|""|""|""|"2.90"|""|""|"EUR"|"STARTPAGINA > PRODUCTEN > ASSORTIMENT > ALCOHOLVRIJE DRANKEN > ENERGY DRINKS EN SPORTDRANK > ENERGIEDRANK"|"https://www.aldi.be/nl/p/artikel-3010893-1-0.article.html#/nl/producten/assortiment/alcoholvrije-dranken/energy-drinks-sportdrank"|""|"bevat taurine, cafeïne, suiker en zoetstoffen"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"https://www.aldi.be/content/aldi/belgium/promotions/source-localenhancement/2019/2019-01/2019-01-02/vast_assortiment/3010893/1/0/_jcr_content/assets/imported-images/BILD_INTERNET4/3010893_monster_25-1.png/_jcr_content/renditions/opt.1250w.png.res/1748907450228/opt.1250w.png"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"500 ml"|""|""|""|""|"3010893-1-0P"|""|""|""|""|""|""|""|""|""
"120-1-0"|"aldi"|""|""|""|""|""|""|""|"2026-03-23"|"Energydrink"|"GOLDEN POWER"|""|"25"|"cl"|""|"STARTPAGINA"|"PRODUCTEN"|"ASSORTIMENT"|"ALCOHOLVRIJE DRANKEN"|"ENERGY DRINKS EN SPORTDRANK"|"ENERGYDRINK"|""|"0.49"|"0.49"|""|""|""|""|""|""|""|""|""|""|"1.96"|""|""|"EUR"|"STARTPAGINA > PRODUCTEN > ASSORTIMENT > ALCOHOLVRIJE DRANKEN > ENERGY DRINKS EN SPORTDRANK > ENERGYDRINK"|"https://www.aldi.be/nl/p/artikel-120-1-0.article.html#/nl/producten/assortiment/alcoholvrije-dranken/energy-drinks-sportdrank"|""|"bevat taurine en cafeïne"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"https://www.aldi.be/content/aldi/belgium/promotions/source-localenhancement/2019/2019-01/2019-01-02/vast_assortiment/120/1/0/_jcr_content/assets/imported-images/BILD_INTERNET12/0120_golden_power_energy_250ml_regular_2025.png/_jcr_content/renditions/opt.1250w.png.res/1759966604005/opt.1250w.png"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"25 cl"|""|""|""|""|"120-1-0P"|""|""|""|""|""|""|""|""|""
"3002372-1-0"|"aldi"|""|""|""|""|""|""|""|"2026-03-23"|"Energydrink"|"RED BULL"|""|"25"|"cl"|""|"STARTPAGINA"|"PRODUCTEN"|"ASSORTIMENT"|"ALCOHOLVRIJE DRANKEN"|"ENERGY DRINKS EN SPORTDRANK"|"ENERGYDRINK"|""|"1.25"|"1.25"|""|""|""|""|""|""|""|""|""|""|"5.00"|""|""|"EUR"|"STARTPAGINA > PRODUCTEN > ASSORTIMENT > ALCOHOLVRIJE DRANKEN > ENERGY DRINKS EN SPORTDRANK > ENERGYDRINK"|"https://www.aldi.be/nl/p/artikel-3002372-1-0.article.html#/nl/producten/assortiment/alcoholvrije-dranken/energy-drinks-sportdrank"|""|"energydrink op basis van alpenwater, suiker, taurine (0,4 %), cafeïne (0,03 %) en vitamine B"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"https://www.aldi.be/content/aldi/belgium/promotions/source-localenhancement/2019/2019-01/2019-01-02/vast_assortiment/3002372/1/0/_jcr_content/assets/imported-images/BILD_INTERNET3/3002372_red-bull_energydrink_2021.png/_jcr_content/renditions/opt.1250w.png.res/1679462324944/opt.1250w.png"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"25 cl"|""|""|""|""|"3002372-1-0P"|""|""|""|""|""|""|""|""|""
"3012048-1-0"|"aldi"|""|""|""|""|""|""|""|"2026-03-23"|"Energydrink green"|"GOLDEN POWER"|""|"50"|"cl"|""|"STARTPAGINA"|"PRODUCTEN"|"ASSORTIMENT"|"ALCOHOLVRIJE DRANKEN"|"ENERGY DRINKS EN SPORTDRANK"|"ENERGYDRINK GREEN"|""|"0.89"|"0.89"|""|""|""|""|""|""|""|""|""|""|"1.78"|""|""|"EUR"|"STARTPAGINA > PRODUCTEN > ASSORTIMENT > ALCOHOLVRIJE DRANKEN > ENERGY DRINKS EN SPORTDRANK > ENERGYDRINK GREEN"|"https://www.aldi.be/nl/p/artikel-3012048-1-0.article.html#/nl/producten/assortiment/alcoholvrije-dranken/energy-drinks-sportdrank"|""|"green guarana-smaak"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"https://www.aldi.be/content/aldi/belgium/promotions/source-localenhancement/2019/2019-01/2019-01-02/vast_assortiment/3012048/1/0/_jcr_content/assets/imported-images/BILD_INTERNET4/3012048_energydrink_green_26-1.png/_jcr_content/renditions/opt.1250w.png.res/1772498194759/opt.1250w.png"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"50 cl"|""|""|""|""|"3012048-1-0P"|""|""|""|""|""|""|""|""|""
"3011383-1-0"|"aldi"|""|""|""|""|""|""|""|"2026-03-23"|"Energydrink passion fruit"|"GOLDEN POWER"|""|"25"|"cl"|""|"STARTPAGINA"|"PRODUCTEN"|"ASSORTIMENT"|"ALCOHOLVRIJE DRANKEN"|"ENERGY DRINKS EN SPORTDRANK"|"ENERGYDRINK PASSION FRUIT"|""|"0.55"|"0.55"|""|""|""|""|""|""|""|""|""|""|"2.20"|""|""|"EUR"|"STARTPAGINA > PRODUCTEN > ASSORTIMENT > ALCOHOLVRIJE DRANKEN > ENERGY DRINKS EN SPORTDRANK > ENERGYDRINK PASSION FRUIT"|"https://www.aldi.be/nl/p/artikel-3011383-1-0.article.html#/nl/producten/assortiment/alcoholvrije-dranken/energy-drinks-sportdrank"|""|"passievruchtsmaak, keuze uit regular en zero"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"https://www.aldi.be/content/aldi/belgium/promotions/source-localenhancement/2019/2019-01/2019-01-02/tijdelijk_assortiment/3011383/1/0/_jcr_content/assets/imported-images/BILD_INTERNET1/3011383_energydrink_passion_fruit_25-0-grp.png/_jcr_content/renditions/opt.1250w.png.res/1762302987296/opt.1250w.png"|""|"https://www.aldi.be/content/aldi/belgium/promotions/source-localenhancement/2019/2019-01/2019-01-02/tijdelijk_assortiment/3011383/1/0/_jcr_content/assets/imported-images/BILD_INTERNET2/3011383_energydrink_passion_fruit_25-1.png/_jcr_content/renditions/opt.1250w.png.res/1762302983062/opt.1250w.png"|""|"https://www.aldi.be/content/aldi/belgium/promotions/source-localenhancement/2019/2019-01/2019-01-02/tijdelijk_assortiment/3011383/1/0/_jcr_content/assets/imported-images/BILD_INTERNET4/3011383_energydrink_passion_fruit_25-2.png/_jcr_content/renditions/opt.1250w.png.res/1762302983033/opt.1250w.png"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"25 cl"|""|""|""|""|"3011383-1-0P"|""|""|""|""|""|""|""|""|""
"3010862-1-0"|"aldi"|""|""|""|""|""|""|""|"2026-03-23"|"Energydrink peach"|"GOLDEN POWER"|""|"25"|"cl"|""|"STARTPAGINA"|"PRODUCTEN"|"ASSORTIMENT"|"ALCOHOLVRIJE DRANKEN"|"ENERGY DRINKS EN SPORTDRANK"|"ENERGYDRINK PEACH"|""|"0.55"|"0.55"|""|""|""|""|""|""|""|""|""|""|"2.20"|""|""|"EUR"|"STARTPAGINA > PRODUCTEN > ASSORTIMENT > ALCOHOLVRIJE DRANKEN > ENERGY DRINKS EN SPORTDRANK > ENERGYDRINK PEACH"|"https://www.aldi.be/nl/p/artikel-3010862-1-0.article.html#/nl/producten/assortiment/alcoholvrije-dranken/energy-drinks-sportdrank"|""|"perziksmaak"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"https://www.aldi.be/content/aldi/belgium/promotions/source-localenhancement/2019/2019-01/2019-01-02/vast_assortiment/3010862/1/0/_jcr_content/assets/imported-images/BILD_INTERNET4/3010862_fr_nl_de_be_energy_flavours_250ml_white_peach_refresco_2025.png/_jcr_content/renditions/opt.1250w.png.res/1753400273557/opt.1250w.png"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"25 cl"|""|""|""|""|"3010862-1-0P"|""|""|""|""|""|""|""|""|""
"3009857-1-0"|"aldi"|""|""|""|""|""|""|""|"2026-03-23"|"Energydrink peach zero"|"GOLDEN POWER"|""|"25"|"cl"|""|"STARTPAGINA"|"PRODUCTEN"|"ASSORTIMENT"|"ALCOHOLVRIJE DRANKEN"|"ENERGY DRINKS EN SPORTDRANK"|"ENERGYDRINK PEACH ZERO"|""|"0.55"|"0.55"|""|""|""|""|""|""|""|""|""|""|"2.20"|""|""|"EUR"|"STARTPAGINA > PRODUCTEN > ASSORTIMENT > ALCOHOLVRIJE DRANKEN > ENERGY DRINKS EN SPORTDRANK > ENERGYDRINK PEACH ZERO"|"https://www.aldi.be/nl/p/artikel-3009857-1-0.article.html#/nl/producten/assortiment/alcoholvrije-dranken/energy-drinks-sportdrank"|""|"perziksmaak, zonder suikers, bevat zoetstoffen"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"https://www.aldi.be/content/aldi/belgium/promotions/source-localenhancement/2019/2019-01/2019-01-02/vast_assortiment/3009857/1/0/_jcr_content/assets/imported-images/BILD_INTERNET2/3009857-44027_de_fr_nl_be_energy_flavours_250ml_peach_zero_konings_2025.png/_jcr_content/renditions/opt.1250w.png.res/1753400210884/opt.1250w.png"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"25 cl"|""|""|""|""|"3009857-1-0P"|""|""|""|""|""|""|""|""|""
"3004424-1-0"|"aldi"|""|""|""|""|""|""|""|"2026-03-23"|"Energydrink raspberry"|"GOLDEN POWER"|""|"25"|"cl"|""|"STARTPAGINA"|"PRODUCTEN"|"ASSORTIMENT"|"ALCOHOLVRIJE DRANKEN"|"ENERGY DRINKS EN SPORTDRANK"|"ENERGYDRINK RASPBERRY"|""|"0.55"|"0.55"|""|""|""|""|""|""|""|""|""|""|"2.20"|""|""|"EUR"|"STARTPAGINA > PRODUCTEN > ASSORTIMENT > ALCOHOLVRIJE DRANKEN > ENERGY DRINKS EN SPORTDRANK > ENERGYDRINK RASPBERRY"|"https://www.aldi.be/nl/p/artikel-3004424-1-0.article.html#/nl/producten/assortiment/alcoholvrije-dranken/energy-drinks-sportdrank"|""|"frambozensmaak"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"https://www.aldi.be/content/aldi/belgium/promotions/source-localenhancement/2019/2019-01/2019-01-02/vast_assortiment/3004424/1/0/_jcr_content/assets/imported-images/BILD_INTERNET14/3004424_be_nl_fr_be_energy_flavours_250ml_raspberry_refresco_2025.png/_jcr_content/renditions/opt.1250w.png.res/1759188995304/opt.1250w.png"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"25 cl"|""|""|""|""|"3004424-1-0P"|""|""|""|""|""|""|""|""|""
"260-1-0"|"aldi"|""|""|""|""|""|""|""|"2026-03-23"|"Energydrink zero"|"GOLDEN POWER"|""|"25"|"cl"|""|"STARTPAGINA"|"PRODUCTEN"|"ASSORTIMENT"|"ALCOHOLVRIJE DRANKEN"|"ENERGY DRINKS EN SPORTDRANK"|"ENERGYDRINK ZERO"|""|"0.49"|"0.49"|""|""|""|""|""|""|""|""|""|""|"1.96"|""|""|"EUR"|"STARTPAGINA > PRODUCTEN > ASSORTIMENT > ALCOHOLVRIJE DRANKEN > ENERGY DRINKS EN SPORTDRANK > ENERGYDRINK ZERO"|"https://www.aldi.be/nl/p/artikel-260-1-0.article.html#/nl/producten/assortiment/alcoholvrije-dranken/energy-drinks-sportdrank"|""|"zonder suiker, bevat taurine, cafeïne en zoetstoffen"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"https://www.aldi.be/content/aldi/belgium/promotions/source-localenhancement/2019/2019-01/2019-01-02/vast_assortiment/260/1/0/_jcr_content/assets/imported-images/BILD_INTERNET12/0260_energy_250ml_zero_2025.png/_jcr_content/renditions/opt.1250w.png.res/1764894991044/opt.1250w.png"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"25 cl"|""|""|""|""|"260-1-0P"|""|""|""|""|""|""|""|""|""
