"unique_id"|"competitor_name"|"store_name"|"store_addressline1"|"store_addressline2"|"store_suburb"|"store_state"|"store_postcode"|"store_addressid"|"extraction_date"|"product_name"|"brand"|"brand_type"|"grammage_quantity"|"grammage_unit"|"drained_weight"|"producthierarchy_level1"|"producthierarchy_level2"|"producthierarchy_level3"|"producthierarchy_level4"|"producthierarchy_level5"|"producthierarchy_level6"|"producthierarchy_level7"|"regular_price"|"selling_price"|"price_was"|"promotion_price"|"promotion_valid_from"|"promotion_valid_upto"|"promotion_type"|"percentage_discount"|"promotion_description"|"package_sizeof_sellingprice"|"per_unit_sizedescription"|"price_valid_from"|"price_per_unit"|"multi_buy_item_count"|"multi_buy_items_price_total"|"currency"|"breadcrumb"|"pdp_url"|"variants"|"product_description"|"instructions"|"storage_instructions"|"preparationinstructions"|"instructionforuse"|"country_of_origin"|"allergens"|"age_of_the_product"|"age_recommendations"|"flavour"|"nutritions"|"nutritional_information"|"vitamins"|"labelling"|"grade"|"region"|"packaging"|"receipies"|"processed_food"|"barcode"|"frozen"|"chilled"|"organictype"|"cooking_part"|"handmade"|"max_heating_temperature"|"special_information"|"label_information"|"dimensions"|"special_nutrition_purpose"|"feeding_recommendation"|"warranty"|"color"|"model_number"|"material"|"usp"|"dosage_recommendation"|"tasting_note"|"food_preservation"|"size"|"rating"|"review"|"file_name_1"|"image_url_1"|"file_name_2"|"image_url_2"|"file_name_3"|"image_url_3"|"file_name_4"|"image_url_4"|"file_name_5"|"image_url_5"|"file_name_6"|"image_url_6"|"competitor_product_key"|"fit_guide"|"occasion"|"material_composition"|"style"|"care_instructions"|"heel_type"|"heel_height"|"upc"|"features"|"dietary_lifestyle"|"manufacturer_address"|"importer_address"|"distributor_address"|"vinification_details"|"recycling_information"|"return_address"|"alchol_by_volume"|"beer_deg"|"netcontent"|"netweight"|"site_shown_uom"|"ingredients"|"random_weight_flag"|"instock"|"promo_limit"|"product_unique_key"|"multibuy_items_pricesingle"|"perfect_match"|"servings_per_pack"|"warning"|"suitable_for"|"standard_drinks"|"environmental"|"grape_variety"|"retail_limit"
"G09-659-XS_Reg"|"next"|""|""|""|""|""|""|""|"2026-03-27"|"Navy Gingham Puff Sleeve Button Through Denim Blouse"|"Next"|""|""|""|""|"Home"|"Women"|"Blouses & Shirts"|"Navy Gingham Puff Sleeve Button Through Denim Blouse"|""|""|""|"38.00"|"38.00"|""|""|""|""|""|""|""|""|""|""|""|""|""|"GBP"|"Home > Women > blouses & shirts > Navy Gingham Puff Sleeve Button Through Denim Blouse"|"https://www.next.co.uk/style/su893644/g09659#g09659"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Navy Gingham"|""|""|""|""|""|""|"XS Reg"|""|""|""|"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G09659s.jpg?im=Resize,width=750"|""|"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G09659s2.jpg?im=Resize,width=750"|""|"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G09659s3.jpg?im=Resize,width=750"|""|""|""|""|""|""|""|"Regular"|""|"100% Cotton."|""|"Machine washable."|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"True"|""|"G09-659-XS_RegP"|""|""|""|""|""|""|""|""|""
"G09-659-S_Reg"|"next"|""|""|""|""|""|""|""|"2026-03-27"|"Navy Gingham Puff Sleeve Button Through Denim Blouse"|"Next"|""|""|""|""|"Home"|"Women"|"Blouses & Shirts"|"Navy Gingham Puff Sleeve Button Through Denim Blouse"|""|""|""|"38.00"|"38.00"|""|""|""|""|""|""|""|""|""|""|""|""|""|"GBP"|"Home > Women > blouses & shirts > Navy Gingham Puff Sleeve Button Through Denim Blouse"|"https://www.next.co.uk/style/su893644/g09659#g09659"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Navy Gingham"|""|""|""|""|""|""|"S Reg"|""|""|""|"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G09659s.jpg?im=Resize,width=750"|""|"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G09659s2.jpg?im=Resize,width=750"|""|"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G09659s3.jpg?im=Resize,width=750"|""|""|""|""|""|""|""|"Regular"|""|"100% Cotton."|""|"Machine washable."|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"True"|""|"G09-659-S_RegP"|""|""|""|""|""|""|""|""|""
"G09-659-M_Reg"|"next"|""|""|""|""|""|""|""|"2026-03-27"|"Navy Gingham Puff Sleeve Button Through Denim Blouse"|"Next"|""|""|""|""|"Home"|"Women"|"Blouses & Shirts"|"Navy Gingham Puff Sleeve Button Through Denim Blouse"|""|""|""|"38.00"|"38.00"|""|""|""|""|""|""|""|""|""|""|""|""|""|"GBP"|"Home > Women > blouses & shirts > Navy Gingham Puff Sleeve Button Through Denim Blouse"|"https://www.next.co.uk/style/su893644/g09659#g09659"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Navy Gingham"|""|""|""|""|""|""|"M Reg"|""|""|""|"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G09659s.jpg?im=Resize,width=750"|""|"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G09659s2.jpg?im=Resize,width=750"|""|"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G09659s3.jpg?im=Resize,width=750"|""|""|""|""|""|""|""|"Regular"|""|"100% Cotton."|""|"Machine washable."|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"True"|""|"G09-659-M_RegP"|""|""|""|""|""|""|""|""|""
"G09-659-L_Reg"|"next"|""|""|""|""|""|""|""|"2026-03-27"|"Navy Gingham Puff Sleeve Button Through Denim Blouse"|"Next"|""|""|""|""|"Home"|"Women"|"Blouses & Shirts"|"Navy Gingham Puff Sleeve Button Through Denim Blouse"|""|""|""|"38.00"|"38.00"|""|""|""|""|""|""|""|""|""|""|""|""|""|"GBP"|"Home > Women > blouses & shirts > Navy Gingham Puff Sleeve Button Through Denim Blouse"|"https://www.next.co.uk/style/su893644/g09659#g09659"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Navy Gingham"|""|""|""|""|""|""|"L Reg"|""|""|""|"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G09659s.jpg?im=Resize,width=750"|""|"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G09659s2.jpg?im=Resize,width=750"|""|"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G09659s3.jpg?im=Resize,width=750"|""|""|""|""|""|""|""|"Regular"|""|"100% Cotton."|""|"Machine washable."|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"True"|""|"G09-659-L_RegP"|""|""|""|""|""|""|""|""|""
"G09-659-XL_Reg"|"next"|""|""|""|""|""|""|""|"2026-03-27"|"Navy Gingham Puff Sleeve Button Through Denim Blouse"|"Next"|""|""|""|""|"Home"|"Women"|"Blouses & Shirts"|"Navy Gingham Puff Sleeve Button Through Denim Blouse"|""|""|""|"38.00"|"38.00"|""|""|""|""|""|""|""|""|""|""|""|""|""|"GBP"|"Home > Women > blouses & shirts > Navy Gingham Puff Sleeve Button Through Denim Blouse"|"https://www.next.co.uk/style/su893644/g09659#g09659"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Navy Gingham"|""|""|""|""|""|""|"XL Reg"|""|""|""|"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G09659s.jpg?im=Resize,width=750"|""|"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G09659s2.jpg?im=Resize,width=750"|""|"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G09659s3.jpg?im=Resize,width=750"|""|""|""|""|""|""|""|"Regular"|""|"100% Cotton."|""|"Machine washable."|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"True"|""|"G09-659-XL_RegP"|""|""|""|""|""|""|""|""|""
"G09-659-2XL_Reg"|"next"|""|""|""|""|""|""|""|"2026-03-27"|"Navy Gingham Puff Sleeve Button Through Denim Blouse"|"Next"|""|""|""|""|"Home"|"Women"|"Blouses & Shirts"|"Navy Gingham Puff Sleeve Button Through Denim Blouse"|""|""|""|"38.00"|"38.00"|""|""|""|""|""|""|""|""|""|""|""|""|""|"GBP"|"Home > Women > blouses & shirts > Navy Gingham Puff Sleeve Button Through Denim Blouse"|"https://www.next.co.uk/style/su893644/g09659#g09659"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Navy Gingham"|""|""|""|""|""|""|"2XL Reg"|""|""|""|"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G09659s.jpg?im=Resize,width=750"|""|"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G09659s2.jpg?im=Resize,width=750"|""|"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G09659s3.jpg?im=Resize,width=750"|""|""|""|""|""|""|""|"Regular"|""|"100% Cotton."|""|"Machine washable."|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"True"|""|"G09-659-2XL_RegP"|""|""|""|""|""|""|""|""|""
"G09-659-3XL_Reg"|"next"|""|""|""|""|""|""|""|"2026-03-27"|"Navy Gingham Puff Sleeve Button Through Denim Blouse"|"Next"|""|""|""|""|"Home"|"Women"|"Blouses & Shirts"|"Navy Gingham Puff Sleeve Button Through Denim Blouse"|""|""|""|"38.00"|"38.00"|""|""|""|""|""|""|""|""|""|""|""|""|""|"GBP"|"Home > Women > blouses & shirts > Navy Gingham Puff Sleeve Button Through Denim Blouse"|"https://www.next.co.uk/style/su893644/g09659#g09659"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Navy Gingham"|""|""|""|""|""|""|"3XL Reg"|""|""|""|"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G09659s.jpg?im=Resize,width=750"|""|"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G09659s2.jpg?im=Resize,width=750"|""|"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G09659s3.jpg?im=Resize,width=750"|""|""|""|""|""|""|""|"Regular"|""|"100% Cotton."|""|"Machine washable."|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"True"|""|"G09-659-3XL_RegP"|""|""|""|""|""|""|""|""|""
"G09-659-S_Tall"|"next"|""|""|""|""|""|""|""|"2026-03-27"|"Navy Gingham Puff Sleeve Button Through Denim Blouse"|"Next"|""|""|""|""|"Home"|"Women"|"Blouses & Shirts"|"Navy Gingham Puff Sleeve Button Through Denim Blouse"|""|""|""|"38.00"|"38.00"|""|""|""|""|""|""|""|""|""|""|""|""|""|"GBP"|"Home > Women > blouses & shirts > Navy Gingham Puff Sleeve Button Through Denim Blouse"|"https://www.next.co.uk/style/su893644/g09659#g09659"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Navy Gingham"|""|""|""|""|""|""|"S Tall"|""|""|""|"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G09659s.jpg?im=Resize,width=750"|""|"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G09659s2.jpg?im=Resize,width=750"|""|"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G09659s3.jpg?im=Resize,width=750"|""|""|""|""|""|""|""|"Regular"|""|"100% Cotton."|""|"Machine washable."|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"True"|""|"G09-659-S_TallP"|""|""|""|""|""|""|""|""|""
"G09-659-M_Tall"|"next"|""|""|""|""|""|""|""|"2026-03-27"|"Navy Gingham Puff Sleeve Button Through Denim Blouse"|"Next"|""|""|""|""|"Home"|"Women"|"Blouses & Shirts"|"Navy Gingham Puff Sleeve Button Through Denim Blouse"|""|""|""|"38.00"|"38.00"|""|""|""|""|""|""|""|""|""|""|""|""|""|"GBP"|"Home > Women > blouses & shirts > Navy Gingham Puff Sleeve Button Through Denim Blouse"|"https://www.next.co.uk/style/su893644/g09659#g09659"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Navy Gingham"|""|""|""|""|""|""|"M Tall"|""|""|""|"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G09659s.jpg?im=Resize,width=750"|""|"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G09659s2.jpg?im=Resize,width=750"|""|"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G09659s3.jpg?im=Resize,width=750"|""|""|""|""|""|""|""|"Regular"|""|"100% Cotton."|""|"Machine washable."|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"True"|""|"G09-659-M_TallP"|""|""|""|""|""|""|""|""|""
"G09-659-L_Tall"|"next"|""|""|""|""|""|""|""|"2026-03-27"|"Navy Gingham Puff Sleeve Button Through Denim Blouse"|"Next"|""|""|""|""|"Home"|"Women"|"Blouses & Shirts"|"Navy Gingham Puff Sleeve Button Through Denim Blouse"|""|""|""|"38.00"|"38.00"|""|""|""|""|""|""|""|""|""|""|""|""|""|"GBP"|"Home > Women > blouses & shirts > Navy Gingham Puff Sleeve Button Through Denim Blouse"|"https://www.next.co.uk/style/su893644/g09659#g09659"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Navy Gingham"|""|""|""|""|""|""|"L Tall"|""|""|""|"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G09659s.jpg?im=Resize,width=750"|""|"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G09659s2.jpg?im=Resize,width=750"|""|"https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G09659s3.jpg?im=Resize,width=750"|""|""|""|""|""|""|""|"Regular"|""|"100% Cotton."|""|"Machine washable."|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"True"|""|"G09-659-L_TallP"|""|""|""|""|""|""|""|""|""
