company_name~|~manufacturer_name~|~brand_name~|~manufacturer_part_number~|~vendor_seller_part_number~|~item_name~|~full_product_description~|~price~|~country_of_origin~|~unit_of_issue~|~qty_per_uoi~|~upc~|~model_number~|~product_category~|~url~|~availability~|~date_crawled~|~lead_time~|~rohs_reach~|~stock_on_hand
Restockit~|~Genuine Joe~|~Genuine Joe~|~GJO70012~|~GJO70012~|~Genuine Joe High Density Clear Trash Bags, 33 Gallon, Case of 500 (GJO70012)~|~High-density trash bags are made with puncture-resistant, high-density resin. Ideal for office waste. Star-bottom construction is designed for more even distribution of contents. Coreless, small-count rolls keep bags at your fingertips and can be easily stored.~|~50.49~|~~|~Case~|~500~|~035255700122~|~~|~Cleaning Supplies > Can Liners and Trash Cans > Can Liners > Commercial Can Liners~|~https://www.restockit.com/products/genuine-joe-high-density-clear-trash-bags-num-gjo70012~|~In stock~|~2026-04-20~|~~|~~|~83
Restockit~|~Boardwalk~|~Boardwalk~|~BWK6400~|~BWK6400~|~Boardwalk Bulk 6400 Two Ply Bulk Center Pull Paper Towels (BWK6400)~|~Boardwalk makes some of the best center pull paper towels on the market, and with products like these, they have emerged as a strong competitor to household paper towel brands. These two ply towels are strong, and are a clean looking white, making them a great choice for areas where customers or clients will need paper towels. Just because these towels are white instead of a natural brown doesn't mean they're bad for the environment, quite the opposite actually. These recycled paper towels meet EPA guidelines for post consumer waste fiber, with a post consumer content of 55%. These are some of the most environmentally friendly recycled paper towels you'll find anywhere, which is why they are a special ReStockIt.com 'green product'. These paper towels are a strong two ply towel that are perforated to help reduce jams and streaming out of your center pull paper towels dispenser. At this great value, you're going to get 6 (six), 600 sheet rolls in every case.These~|~26.95~|~~|~Roll~|~6~|~749507064008~|~~|~Cleaning Supplies > Paper Products and Dispensers > Paper Towels > Centerpull Paper Towels~|~https://www.restockit.com/products/boardwalk-bulk-6400-two-ply-bulk-center-pull-paper-towels-num-bwk6400~|~In stock~|~2026-04-20~|~~|~~|~4938
Restockit~|~enMotion~|~enMotion~|~59491~|~59491~|~enMotion Stainless Steel Recessed Trash Receptacle for 16" Cavities (59491)~|~Higher capacity (11 Gallon vs. 9.6) trash receptacle for the Georgia-Pacific Recessed Towel Dispensers is specifically engineered for facilities with 16" cavities. This trash receptacle is ideal for new facilities or renovations. Stainless steel design complements any decor to enhance the image of any facility and is ADA compliant helping provide a total solution. *Due to space limitations when the studs are 12, the high capacity trash receptacle cannot be used - see 59471.~|~600.59~|~~|~Each~|~1~|~073310594910~|~~|~Cleaning Supplies > Can Liners and Trash Cans > Trash Cans > Indoor Trash Cans~|~https://www.restockit.com/products/enmotion-stainless-steel-recessed-trash-receptacle-for-16-cavities-num-59491~|~Out of stock~|~2026-04-20~|~~|~~|~
Restockit~|~Boardwalk~|~Boardwalk~|~BWK6145~|~BWK6145~|~Boardwalk Bathroom Tissue, Standard, Septic Safe, 2-Ply, White, 4 x 3, 500 Sheets/Roll, 96/Carton (BWK6145)~|~This bulk toilet paper is perfect for stocking public or office restrooms. Even though you're buying the product as wholesale toilet paper, each roll comes individually wrapped. This makes the product not only a sanitary option, but also the perfect solution for stocking washrooms with individual storage for toilet paper. At ReStockIt.com, we make sure that people can tell what they're paying for when they decide to buy bulk toilet paper. That is why the products which qualify as being recycled or environmentally friendly, are marked with our 'green product' guarantee, like this great toilet paper from Boardwalk. If you're stocking busy washrooms, you know how fast you can burn through toilet paper. Don't let this consumable cost become a burden on your books. Instead, use the wholesale toilet paper options at ReStockIt.com to keep your bathroom shelves stocked affordably. Get the same great quality toilet tissue that you would buy retail at the best wholesale prices.~|~48.95~|~~|~Case~|~96~|~749507985136~|~~|~Cleaning Supplies > Paper Products and Dispensers > Toilet Paper > Regular Roll Toilet Paper~|~https://www.restockit.com/products/boardwalk-bathroom-tissue-num-bwk6145~|~In stock~|~2026-04-20~|~~|~~|~6533
Restockit~|~Boardwalk~|~Boardwalk~|~BWK6144~|~BWK6144~|~Boardwalk 2-Ply Toilet Tissue, Septic Safe, White, 400 Sheets/Roll, 96 Rolls/Carton (BWK6144)~|~Quality, durable toilet tissue thats soft and absorbent, yet available at an economical price. Two-ply, durable, embossed white tissue on a standard size perforated roll. Individually wrapped for maximum cleanliness and safety. Ideal for use in any industrial, office, restaurant, or retail bathroom where standard size rolls are used. Fits within standard size toilet-roll paper holder or dispenser.~|~43.69~|~~|~Case~|~96~|~749507989400~|~~|~Cleaning Supplies > Paper Products and Dispensers > Toilet Paper > Regular Roll Toilet Paper~|~https://www.restockit.com/products/boardwalk-2-ply-toilet-tissue-num-bwk6144~|~In stock~|~2026-04-20~|~~|~~|~2806
Restockit~|~Advantus~|~Advantus~|~AVT01500~|~AVT01500~|~Advantus Grip-A-Strip Display Rail, 9 x 1 1/2, Aluminum Finish (AVT01500)~|~Grip-A-Strip display rail is a streamlined alternative to bulletin boards for organizing important papers. Holds non-laminated documents up to 1/8" thick with a system of interlocking rollers, without the need of tacks, pins or tape. Just push papers into Grip-A-Stripthey stay put! Lift up and out to remove. Won't damage artwork. Install with tape or mounting brackets (included). Sizes listed are approximate.~|~9.25~|~~|~Each~|~1~|~091141015008~|~~|~Office Supplies > Presentation Supplies and Boards > Bulletin and Cork Boards~|~https://www.restockit.com/products/advantus-grip-a-strip-display-rail-num-avt01500~|~Out of stock~|~2026-04-20~|~~|~~|~0
Restockit~|~Parker~|~Parker~|~PAR2076052~|~PAR2076052~|~Parker Jotter Retractable Ballpoint Pen, Medium 0.7 mm, Blue Ink/Barrel (PAR2076052)~|~Instantly noticed, Jotter stands as an authentic design icon of the last 60 years. With covetable colors and a distinctive shape, Jotter remains Parker's most popular pen, recognizable down to its signature click.~|~10.54~|~~|~Each~|~1~|~~|~~|~Office Supplies > Pens, Writing and Correction > Pens > Ballpoint Retractable Pens~|~https://www.restockit.com/products/parker-jotter-retractable-ballpoint-pen-num-par2076052~|~Only 12 left. Order soon!~|~2026-04-20~|~~|~~|~12
Restockit~|~Innovative Storage Designs~|~Innovative Storage Designs~|~AVT55797~|~AVT55797~|~Innovative Storage Designs Extra-Capacity 28" File Tote, Letter Files, 23.25" x 14.25" x 10.63", Clear/Navy (AVT55797)~|~Smart cover design makes stacking simple and provides a secure closure. Lid opens from either side for easy access or can be removed for full access. Molded handles for easy carrying. Holds letter-size hanging file folders (sold separately).~|~38.64~|~~|~Each~|~1~|~024591557972~|~~|~Office Supplies > Binders, File Folders and Accessories > Filing Boxes~|~https://www.restockit.com/products/advantus-extra-capacity-28-file-tote-num-avt55797~|~In stock~|~2026-04-20~|~~|~~|~259
Restockit~|~WypAll~|~WypAll~|~35015KIM~|~35015KIM~|~WypAll X50 Cloths, Jumbo Roll, 13.4 x 9.8, White, 1,100/Roll (35015KIM)~|~WypAll X50 Reusable Wipes are an excellent choice for economy and function. X50s are the WypAll Brand's most economical extended use wiper, combining versatile performance with value design for light duty tasks. They feature HydroKnit technology, which gives them strength and durability, so they are a great choice for the manufacturing, industrial, commercial, automotive and transportation industries. If you need durable wiping capabilities at a value price, WypAll X50 Reusable Wipes are a smart choice.~|~67.29~|~~|~Box~|~1100~|~036000350159~|~~|~Cleaning Supplies > Wipers~|~https://www.restockit.com/products/kimberly-clark-wypall-x50-wipers-num-kcc35015~|~In stock~|~2026-04-20~|~~|~~|~447
Restockit~|~LYSOL Brand~|~LYSOL Brand~|~RAC88786EA~|~RAC88786EA~|~LYSOL Brand Clean and Fresh Multi-Surface Cleaner, Lavender and Orchid Essence, 144 oz Bottle (RAC88786EA) (RAC88786EA)~|~Approved to kill germs and odor-causing bacteria even when diluted. Kills 99.9% of viruses and bacteria on hard, non-porous surfaces when used as directed. Cuts through tough grease and grime. For use on floors, countertops, washable walls, door knobs, showers, bathtubs, diaper pails, toilet bowl exteriors and appliance exteriors.~|~15.95~|~~|~Each~|~1~|~036241887865~|~~|~Cleaning Supplies > Cleaning Chemicals > All Purpose Cleaners~|~https://www.restockit.com/products/lysol-clean-and-fresh-multi-surface-cleaner-num-rac88786ea~|~In stock~|~2026-04-20~|~~|~~|~2457
