company_name~|~manufacturer_name~|~brand_name~|~manufacturer_part_number~|~vendor_seller_part_number~|~item_name~|~full_product_description~|~price~|~country_of_origin~|~unit_of_issue~|~qty_per_uoi~|~upc~|~model_number~|~product_category~|~url~|~availability~|~date_crawled~|~lead_time~|~rohs_reach~|~stock_on_hand
MROSupply~|~Dodge~|~Dodge~|~F4B-SCEZ-20M-SHSS~|~791417~|~Dodge 136885 F4B-SCEZ-20M-SHSS Four-Bolt Flange Ball Bearing with 20mm bore, E-Z Kleen set screw locking, stainless steel housing and insert, QuadGuard seal system, corrosion-resistant for washdown environments~|~Housing: Four-bolt flange mount, 304 stainless steel cast housing; Bore Size: 20mm (0.7874 inches), 204 series; Locking: E-Z Kleen set screw with 65-degree angle; Insert Material: Stainless steel for corrosion resistance; Seal System: QuadGuard seal with stainless rubberized flinger; Duty Rating: Normal duty, corrosion-resistant design; Expansion: Non-expansion (fixed) bearing; Applications: Washdown environments, food processing, corrosive conditions~|~221.94~|~~|~each~|~1~|~~|~~|~Bearings > Mounted Bearings > Mounted Ball Bearings > Flanged Mounted Bearings > 4-Bolt Flange~|~https://www.mrosupply.com/bearings/791417_136885_dodge/~|~InStock~|~2026-05-05~|~~|~~|~
MROSupply~|~Dodge~|~Dodge~|~F4B-SCEZ-25M-SHSS~|~791418~|~Dodge 136886 F4B-SCEZ-25M-SHSS E-Z Kleen four-bolt flange bearing with 25mm bore, 65-degree set screw locking, stainless steel housing and insert, QuadGuard seals for washdown environments and corrosion resistance.~|~Housing Type: Four-bolt flange surface mount; Bore Size: 25mm; Locking Type: 65-degree set screw locking; Housing Material: 304 stainless steel cast; Insert Material: Stainless steel; Product Line: E-Z Kleen corrosion resistant; Seal Type: QuadGuard seals with flingers; Series: 205 series; Expansion Type: Non-expansion (fixed); Applications: Washdown environments, food processing, chemical resistance~|~240.84~|~~|~each~|~1~|~~|~~|~Bearings > Mounted Bearings > Mounted Ball Bearings > Flanged Mounted Bearings > 4-Bolt Flange~|~https://www.mrosupply.com/bearings/791418_136886_dodge/~|~InStock~|~2026-05-05~|~~|~~|~
MROSupply~|~Dodge~|~Dodge~|~F4B-SCEZ-30M-SHSS~|~791419~|~Dodge 136887 F4B-SCEZ-30M-SHSS four-bolt flange ball bearing with 30mm bore. E-Z Kleen corrosion-resistant design featuring stainless steel housing and stainless steel insert. Standard duty 65-degree set screw locking, QuadGuard seals, 206 series.~|~Housing Type: Four-bolt flange (F4B) with square bolt pattern for surface mounting; Bore Size: 30mm (1.1811"); Locking Type: 65-degree set screw (SCEZ) with maximum locking force; Housing Material: Stainless steel for corrosion resistance; Insert Material: Stainless steel insert for complete corrosion protection; Product Line: E-Z Kleen corrosion-resistant series; Duty Rating: Standard duty for general industrial applications; Seal Type: QuadGuard triple lip seals with stainless rubberized flingers; Series: 206 series ball bearing; Expansion Type: Non-expansion (fixed) bearing; Applications: Washdown environments, food processing, corrosive conditions~|~281.34~|~~|~each~|~1~|~~|~~|~Bearings > Mounted Bearings > Mounted Ball Bearings > Flanged Mounted Bearings > 4-Bolt Flange~|~https://www.mrosupply.com/bearings/791419_136887_dodge/~|~InStock~|~2026-05-05~|~~|~~|~
MROSupply~|~Dodge~|~Dodge~|~F4B-SCEZ-35M-SHSS~|~791420~|~Dodge 136888 F4B-SCEZ-35M-SHSS E-Z Kleen four-bolt flange bearing with 35mm bore, 65 degree set screw locking, stainless steel housing and insert, 207 series, QuadGuard seal, corrosion resistant for washdown environments.~|~Housing Type: Four-bolt flange surface mount (F4B); Bore Size: 35mm metric; Locking Type: 65 degree set screw (SCEZ); Product Line: E-Z Kleen corrosion resistant; Housing Material: 304 stainless steel cast housing; Insert Material: Corrosion resistant stainless steel; Bearing Series: 207 series; Seal Type: QuadGuard triple lip seal with stainless rubberized flinger; Duty Rating: Standard duty; Application: Washdown environments, food processing, marine applications~|~335.34~|~~|~each~|~1~|~~|~~|~Bearings > Mounted Bearings > Mounted Ball Bearings > Flanged Mounted Bearings > 4-Bolt Flange~|~https://www.mrosupply.com/bearings/791420_136888_dodge/~|~InStock~|~2026-05-05~|~~|~~|~
MROSupply~|~Dodge~|~Dodge~|~F4B-SCEZ-40M-SHSS~|~791421~|~Dodge 136889 F4B-SCEZ-40M-SHSS four-bolt flange bearing with 40mm bore, E-Z Kleen corrosion-resistant design, stainless steel housing and insert, 65-degree setscrew locking, QuadGuard seals for washdown environments.~|~Housing Type: Four-bolt flange mount for surface mounting applications; Bore Diameter: 40mm (1.5748"); Locking Mechanism: 65-degree setscrew for maximum locking force; Housing Material: 304 stainless steel cast housing; Insert Material: Stainless steel for full corrosion resistance; Product Line: E-Z Kleen series for washdown environments; Bearing Series: 208 series ball bearing; Seal Protection: QuadGuard triple lip seals with stainless rubberized flinger; Expansion Type: Non-expansion (fixed) bearing; Applications: Food processing, pharmaceutical, chemical washdown applications requiring corrosion resistance~|~359.64~|~~|~each~|~1~|~~|~~|~Bearings > Mounted Bearings > Mounted Ball Bearings > Flanged Mounted Bearings > 4-Bolt Flange~|~https://www.mrosupply.com/bearings/791421_136889_dodge/~|~InStock~|~2026-05-05~|~~|~~|~
MROSupply~|~Dodge~|~Dodge~|~F4B-SCEZ-50M-SHSS~|~791422~|~Dodge 136890 F4B-SCEZ-50M-SHSS four-bolt flange mounted ball bearing unit with 50mm bore. E-Z Kleen stainless steel housing and insert, 65deg set screw locking. QuadGuard seal system, corrosion resistant design for washdown applications.~|~Housing Type: Four-bolt square flange mount for surface mounting applications; Bore Diameter: 50mm (1.9685"); Locking Mechanism: 65deg set screw for maximum holding power; Housing Material: 304 stainless steel cast housing; Insert Material: Corrosion resistant stainless steel insert; Bearing Series: 210 series ball bearing; Seal System: QuadGuard triple lip seal with stainless rubberized flinger; Product Line: E-Z Kleen corrosion resistant for washdown environments; Expansion Type: Non-expansion (fixed) bearing locates shaft axially; Applications: Food processing, pharmaceutical, marine, and chemical environments requiring corrosion resistance~|~481.68~|~~|~each~|~1~|~~|~~|~Bearings > Mounted Bearings > Mounted Ball Bearings > Flanged Mounted Bearings > 4-Bolt Flange~|~https://www.mrosupply.com/bearings/791422_136890_dodge/~|~InStock~|~2026-05-05~|~~|~~|~
MROSupply~|~Dodge~|~Dodge~|~TB-SCEZ-20M-SHSS~|~791423~|~Dodge 136855 TB-SCEZ-20M-SHSS tapped base pillow block bearing with 20mm bore. E-Z Kleen series featuring stainless steel housing and insert for corrosion resistance. Set screw locking, QuadGuard seals, 204 series ball bearing construction.~|~Housing Type: Tapped-base pillow block with threaded mounting holes; Bore Size: 20mm (204 series); Locking Method: 65-degree set screw for maximum holding power; Housing Material: 304 stainless steel cast construction; Insert Material: Stainless steel for full corrosion resistance; Seal Type: QuadGuard triple lip seal with stainless rubberized flinger; Corrosion Protection: E-Z Kleen series for washdown environments; Configuration: Non-expansion (fixed) bearing; Applications: Food processing, chemical, washdown environments requiring corrosion resistance~|~221.94~|~~|~each~|~1~|~~|~~|~Bearings > Mounted Bearings > Mounted Ball Bearings > Tap Based Bearings~|~https://www.mrosupply.com/bearings/791423_136855_dodge/~|~InStock~|~2026-05-05~|~~|~~|~
MROSupply~|~Dodge~|~Dodge~|~TB-SCEZ-25M-SHSS~|~791424~|~Dodge 136856 TB-SCEZ-25M-SHSS tapped base pillow block bearing with 25mm bore, 65 degree set screw locking, stainless steel housing and insert, E-Z Kleen corrosion resistant design, QuadGuard seals, normal duty, 205 series.~|~Housing Type: Tapped base pillow block with threaded mounting holes; Bore Diameter: 25mm (0.984"); Locking Mechanism: 65 degree set screw for maximum holding force; Housing Material: 304 stainless steel cast construction; Insert Material: Stainless steel corrosion resistant; Duty Rating: Normal duty for standard industrial loads; Corrosion Protection: E-Z Kleen series for washdown environments; Seal System: QuadGuard triple lip seal with stainless rubberized flinger; Bearing Series: 205 series ball bearing; Expansion Type: Non-expansion (fixed) bearing; Applications: Food processing, chemical plants, washdown areas requiring corrosion resistance~|~240.84~|~~|~each~|~1~|~~|~~|~Bearings > Mounted Bearings > Mounted Ball Bearings > Tap Based Bearings~|~https://www.mrosupply.com/bearings/791424_136856_dodge/~|~InStock~|~2026-05-05~|~~|~~|~
MROSupply~|~Dodge~|~Dodge~|~TB-SCEZ-30M-SHSS~|~791425~|~Dodge 136857 TB-SCEZ-30M-SHSS tapped-base pillow block bearing with 30mm bore. E-Z Kleen corrosion-resistant construction with stainless steel housing and insert. 65-degree setscrew locking, QuadGuard seal system, 206 series non-expansion design.~|~Housing Type: Tapped-base pillow block with threaded mounting holes; Bore Size: 30mm (206 series); Locking: 65-degree setscrew for maximum holding power; Housing Material: 304 stainless steel cast construction; Insert Material: Stainless steel for full corrosion resistance; Duty Rating: Standard duty for general applications; Seal System: QuadGuard triple lip seals with stainless rubberized flingers; Expansion Type: Non-expansion (fixed) bearing; Applications: E-Z Kleen series for washdown environments and corrosive conditions~|~281.34~|~~|~each~|~1~|~~|~~|~Bearings > Mounted Bearings > Mounted Ball Bearings > Tap Based Bearings~|~https://www.mrosupply.com/bearings/791425_136857_dodge/~|~InStock~|~2026-05-05~|~~|~~|~
MROSupply~|~Dodge~|~Dodge~|~TB-SCEZ-35M-SHSS~|~791426~|~Dodge 136858 TB-SCEZ-35M-SHSS tapped-base pillow block bearing with 35mm bore. E-Z Kleen series features 304 stainless steel housing with 440C stainless steel insert for corrosion resistance. 65-degree set screw locking with QuadGuard seals.~|~Housing Type: Tapped-base pillow block with threaded mounting holes; Bore Size: 35mm (207 series); Locking Mechanism: 65-degree set screw for maximum holding power; Housing Material: 304 stainless steel cast housing; Insert Material: 440C stainless steel for full corrosion resistance; E-Z Kleen Series: Designed for washdown environments and corrosive applications; Seal Type: QuadGuard triple lip seals with stainless flinger; Expansion Type: Non-expansion (fixed) bearing; Applications: Food processing, pharmaceutical, marine, and chemical industries requiring corrosion resistance~|~335.34~|~~|~each~|~1~|~~|~~|~Bearings > Mounted Bearings > Mounted Ball Bearings > Tap Based Bearings~|~https://www.mrosupply.com/bearings/791426_136858_dodge/~|~InStock~|~2026-05-05~|~~|~~|~
