company_name~|~manufacturer_name~|~brand_name~|~manufacturer_part_number~|~vendor_seller_part_number~|~item_name~|~full_product_description~|~price~|~country_of_origin~|~unit_of_issue~|~qty_per_uoi~|~upc~|~model_number~|~product_category~|~url~|~availability~|~date_crawled~|~lead_time~|~rohs_reach~|~stock_on_hand
PartsSource~|~Filterbuy, Inc.~|~Filterbuy, Inc.~|~AFB23.25X29.25X1M11APK3~|~V209154-AFB2325X2925X1M11APK3~|~PLEATED HVAC FURNACE AIR FILTER, MERV 11, 23.25X29.25X1, PACKAGE OF 3 by Filterbuy, Inc.~|~The Filterbuy replacement air filter 23.25x29.25x1 (actual measurements: 23.25" x 29.25" x 1.00") ensures that your furnace, air conditioner, heat pump, or HVAC system is circulating the cleanest air possible to help preserve your budget and healthy lifestyle. MERV 11 synthetic media (comparable with Micro Allergen Defense MPR 1000 - 1200 & FPR 7) is recommended if you have pets or allergies due to its capability to trap 95% of airborne particles, protecting your home or business from smoke, smog, debris, lint, pollen, mold, dander, and other forms of dust without impacting air flow. High quality construction features an electrostatically charged design with 10 pleats per foot that captures more harmful particles and prolongs the products lifespan by three times that of fiberglass models. Plus, our industrial grade beverage board frames are paired with dual wire backings that significantly outperform traditional cardboard compositions by improving structural integrity with their ability to endure temperatures up to 200 degrees Fahrenheit and withstand exposure to moisture. Installation is also made simple with the addition of easy-to-understand arrows that help identify the direction of air flow and subsequently the way the filter needs to be placed. To top it off, all our components are 100% manufactured within the United States and designed with recyclable materials, providing an eco-friendly alternative to enhancing your air quality. 23.25x29.25x1 replacement air filters for your furnace, air conditioner, heat pump, or HVAC system (actual size: 23.25" x 29.25" x 1.00") MERV 11 synthetic media (comparable with MPR 1000 - 1200 & FPR 7) protects homes from pets, allergies, and more by trapping 95% of airborne particles without impacting air flow Electrostatically charged, pleated filters capture more harmful particles, last 3x longer than fiberglass models, and are 100% manufactured within the United States Industrial grade beverage board (recyclable) frames with dual wire backings improve structural integrity and outperform standard cardboard designs item: PLEATED HVAC FURNACE AIR FILTER, MERV 11, 23.25X29.25X1, PACKAGE OF 3 by Filterbuy, Inc.; oem: Filterbuy, Inc.; oem_number: AFB23.25X29.25X1M11APK3; condition: New OEM Original; warranty: Mfr Warranty; product_type: Air Filter; package_quantity: 3; color: Gold; compatible_devices: Air Conditioner, Furnace, Heat Pump, Air Cleaner, HVAC System; country_of_origin: USA; depth: 1 in; design: Pleated; finish_type: Electrostatic; length: 29.25 in; merv_rating: 11; materials: ['Plastic', 'Aluminum', 'Polypropylene']; nominal_size_(w_x_l_x_d): 23.25 x 29.25 x 1 in; specific_uses_for_product: Commercial/Residential; upc_code: 717267300711; width: 23.25 in~|~69.83~|~USA~|~package~|~3~|~717267300711~|~~|~Facility Maintenance > HVAC & Refrigeration > Air Filters > Pleated Air Filters~|~https://www.partssource.com/parts/filterbuy-inc/afb2325x2925x1m11apk3~|~In Stock~|~2026-05-05~|~~|~~|~
PartsSource~|~Walter~|~Walter~|~A1249XPL-2.8~|~V18645-441Y14~|~JOBBER DRILL 2.80MM HSS by Walter~|~item: JOBBER DRILL 2.80MM HSS by Walter; oem: Walter; oem_number: A1249XPL-2.8; condition: New OEM Original; warranty: Mfr Warranty~|~29.83~|~~|~each~|~1~|~~|~~|~Facility Maintenance > Metalworking & Fabrication > Machining > Drilling & Holemaking > Drill Bits > Metalworking Drill Bits > Jobber Length Drill Bits~|~https://www.partssource.com/parts/walter/a1249xpl28~|~In Stock~|~2026-05-05~|~~|~~|~
PartsSource~|~Filterbuy, Inc.~|~Filterbuy, Inc.~|~AFB23X25X1M11APK3~|~V209154-AFB23X25X1M11APK3~|~PLEATED HVAC FURNACE AIR FILTER, MERV 11, 23X25X1, PACKAGE OF 3 by Filterbuy, Inc.~|~The Filterbuy replacement air filter 23x25x1 (actual measurements: 23.00" x 25.00" x 1.00") ensures that your furnace, air conditioner, heat pump, or HVAC system is circulating the cleanest air possible to help preserve your budget and healthy lifestyle. MERV 11 synthetic media (comparable with Micro Allergen Defense MPR 1000 - 1200 & FPR 7) is recommended if you have pets or allergies due to its capability to trap 95% of airborne particles, protecting your home or business from smoke, smog, debris, lint, pollen, mold, dander, and other forms of dust without impacting air flow. High quality construction features an electrostatically charged design with 14 pleats per foot that captures more harmful particles and prolongs the products lifespan by three times that of fiberglass models. Plus, our industrial grade beverage board frames are paired with dual wire backings that significantly outperform traditional cardboard compositions by improving structural integrity with their ability to endure temperatures up to 200 degrees Fahrenheit and withstand exposure to moisture. Installation is also made simple with the addition of easy-to-understand arrows that help identify the direction of air flow and subsequently the way the filter needs to be placed. To top it off, all our components are 100% manufactured within the United States and designed with recyclable materials, providing an eco-friendly alternative to enhancing your air quality. 23x25x1 replacement air filters for your furnace, air conditioner, heat pump, or HVAC system (actual size: 23.00" x 25.00" x 1.00") MERV 11 synthetic media (comparable with MPR 1000 - 1200 & FPR 7) protects homes from pets, allergies, and more by trapping 95% of airborne particles without impacting air flow Electrostatically charged, pleated filters capture more harmful particles, last 3x longer than fiberglass models, and are 100% manufactured within the United States Industrial grade beverage board (recyclable) frames with dual wire backings improve structural integrity and outperform standard cardboard designs item: PLEATED HVAC FURNACE AIR FILTER, MERV 11, 23X25X1, PACKAGE OF 3 by Filterbuy, Inc.; oem: Filterbuy, Inc.; oem_number: AFB23X25X1M11APK3; condition: New OEM Original; warranty: Mfr Warranty; product_type: Air Filter; package_quantity: 3; color: Gold; compatible_devices: Air Conditioner, Furnace, Heat Pump, Air Cleaner, HVAC System; country_of_origin: USA; depth: 1 in; design: Pleated; finish_type: Electrostatic; length: 25 in; merv_rating: 11; materials: ['Plastic', 'Aluminum', 'Polypropylene']; nominal_size_(w_x_l_x_d): 23 x 25 x 1 in; specific_uses_for_product: Commercial/Residential; upc_code: 717267264952; width: 23 in~|~74.03~|~USA~|~package~|~3~|~717267264952~|~~|~Facility Maintenance > HVAC & Refrigeration > Air Filters > Pleated Air Filters~|~https://www.partssource.com/parts/filterbuy-inc/afb23x25x1m11apk3~|~In Stock~|~2026-05-05~|~~|~~|~
PartsSource~|~Walter~|~Walter~|~A1247-5.8~|~V18645-442R23~|~JOBBER DRILL 5.80MM HSS by Walter~|~item: JOBBER DRILL 5.80MM HSS by Walter; oem: Walter; oem_number: A1247-5.8; condition: New OEM Original; warranty: Mfr Warranty~|~105.88~|~~|~package~|~5~|~~|~~|~Facility Maintenance > Metalworking & Fabrication > Machining > Drilling & Holemaking > Drill Bits > Metalworking Drill Bits > Jobber Length Drill Bits~|~https://www.partssource.com/parts/walter/a124758~|~In Stock~|~2026-05-05~|~~|~~|~
PartsSource~|~Filterbuy, Inc.~|~Filterbuy, Inc.~|~AFB23.5X23.5X2M13PK4~|~V209154-AFB235X235X2M13PK4~|~PLEATED HVAC FURNACE AIR FILTER, MERV 13, 23.5X23.5X2, PACKAGE OF 4 by Filterbuy, Inc.~|~The Filterbuy replacement air filter 23.5x23.5x2 (actual measurements: 23.38" x 23.38" x 1.75") ensures that your furnace, air conditioner, heat pump, or HVAC system is circulating the cleanest air possible to help preserve your budget and healthy lifestyle. MERV 13 synthetic media (comparable with Healthy Living Ultimate Allergen Defense MPR 1500 - 1900 & FPR 10) is recommended if you have a respiratory illness (such as asthma) due to its capability to trap 98% of airborne particles, protecting your home or business from bacteria, smoke, smog, debris, lint, pollen, mold, dander, and other forms of dust without impacting air flow. High quality construction features an electrostatically charged design with 15 pleats per foot that captures more harmful particles and prolongs the products lifespan by three times that of fiberglass models. Plus, our industrial grade beverage board frames are paired with dual wire backings that significantly outperform traditional cardboard compositions by improving structural integrity with their ability to endure temperatures up to 200 degrees Fahrenheit and withstand exposure to moisture. Installation is also made simple with the addition of easy-to-understand arrows that help identify the direction of air flow and subsequently the way the filter needs to be placed. To top it off, all our components are 100% manufactured within the United States and designed with recyclable materials, providing an eco-friendly alternative to enhancing your air quality. 23.5x23.5x2 replacement air filters for your furnace, air conditioner, heat pump, or HVAC system (actual size: 23.38" x 23.38" x 1.75") MERV 13 synthetic media (comparable with MPR 1500 - 1900 & FPR 10) protects homes from bacteria and more by trapping 98% of airborne particles without impacting air flow Electrostatically charged, pleated filters capture more harmful particles, last 3x longer than fiberglass models, and are 100% manufactured within the United States Industrial grade beverage board (recyclable) frames with dual wire backings improve structural integrity and outperform standard cardboard designs item: PLEATED HVAC FURNACE AIR FILTER, MERV 13, 23.5X23.5X2, PACKAGE OF 4 by Filterbuy, Inc.; oem: Filterbuy, Inc.; oem_number: AFB23.5X23.5X2M13PK4; condition: New OEM Original; warranty: Mfr Warranty; product_type: Air Filter; package_quantity: 4; color: Blue; compatible_devices: Air Conditioner, Furnace, Heat Pump, Air Cleaner, HVAC System; country_of_origin: USA; depth: 1.75 in; design: Pleated; finish_type: Electrostatic; length: 23.38 in; merv_rating: 13; materials: ['Plastic', 'Aluminum', 'Polypropylene']; nominal_size_(w_x_l_x_d): 23.5 x 23.5 x 2 in; specific_uses_for_product: Commercial/Residential; upc_code: 717267063951; width: 23.38 in~|~145.07~|~USA~|~package~|~4~|~717267063951~|~~|~Facility Maintenance > HVAC & Refrigeration > Air Filters > Pleated Air Filters~|~https://www.partssource.com/parts/filterbuy-inc/afb235x235x2m13pk4~|~In Stock~|~2026-05-05~|~~|~~|~
PartsSource~|~Lakeside Manufacturing, Inc.~|~Lakeside Manufacturing, Inc.~|~C-524-E-2R~|~V30697-C524E2R~|~5 DRAWER CART,ELECTRONIC KEY by Lakeside Manufacturing, Inc.~|~item: 5 DRAWER CART,ELECTRONIC KEY by Lakeside Manufacturing, Inc.; oem: Lakeside Manufacturing, Inc.; oem_number: C-524-E-2R; condition: New OEM Original; warranty: Mfr Warranty~|~4334.68~|~~|~each~|~1~|~~|~~|~~|~https://www.partssource.com/parts/lakeside-manufacturing-inc/c524e2r~|~In Stock~|~2026-05-05~|~~|~~|~
PartsSource~|~Walter~|~Walter~|~A1511-4.4~|~V18645-440W36~|~EXTRA LONG DRILL 4.40MM HSS by Walter~|~item: EXTRA LONG DRILL 4.40MM HSS by Walter; oem: Walter; oem_number: A1511-4.4; condition: New OEM Original; warranty: Mfr Warranty~|~106.78~|~~|~package~|~10~|~~|~~|~Facility Maintenance > Metalworking & Fabrication > Machining > Drilling & Holemaking > Drill Bits > Metalworking Drill Bits > Extra Long Drill Bits~|~https://www.partssource.com/parts/walter/a151144~|~In Stock~|~2026-05-05~|~~|~~|~
PartsSource~|~Lakeside Manufacturing, Inc.~|~Lakeside Manufacturing, Inc.~|~C-530-P2B-1B~|~V30697-C530P2B1B~|~5 DRAWER EMER CART W 12" PANEL by Lakeside Manufacturing, Inc.~|~item: 5 DRAWER EMER CART W 12" PANEL by Lakeside Manufacturing, Inc.; oem: Lakeside Manufacturing, Inc.; oem_number: C-530-P2B-1B; condition: New OEM Original; warranty: Mfr Warranty~|~3087.1~|~~|~each~|~1~|~~|~~|~~|~https://www.partssource.com/parts/lakeside-manufacturing-inc/c530p2b1b~|~In Stock~|~2026-05-05~|~~|~~|~
PartsSource~|~Filterbuy, Inc.~|~Filterbuy, Inc.~|~AFB24X24X1M8PK4~|~V209154-AFB24X24X1M8PK4~|~PLEATED HVAC FURNACE AIR FILTER, MERV 8, 24X24X1, PACKAGE OF 4 by Filterbuy, Inc.~|~The Filterbuy replacement air filter 24x24x1 (actual measurements: 23.38" x 23.38" x 0.75") ensures that your furnace, air conditioner, heat pump, or HVAC system is circulating the cleanest air possible to help preserve your budget and healthy lifestyle. MERV 8 synthetic media (comparable with Clean Living Dust Defense MPR 600 & FPR 5) is recommended in most scenarios due to its capability to trap 90% of airborne particles, protecting your home or business from debris, lint, pollen, mold, dander, and other forms of dust without impacting air flow. High quality construction features an electrostatically charged design with 14 pleats per foot that captures more harmful particles and prolongs the products lifespan by three times that of fiberglass models. Plus, our industrial grade beverage board frames are paired with dual wire backings that significantly outperform traditional cardboard compositions by improving structural integrity with their ability to endure temperatures up to 200 degrees Fahrenheit and withstand exposure to moisture. Installation is also made simple with the addition of easy-to-understand arrows that help identify the direction of air flow and subsequently the way the filter needs to be placed. To top it off, all our components are 100% manufactured within the United States and designed with recyclable materials, providing an eco-friendly alternative to enhancing your air quality. 24x24x1 replacement air filters for your furnace, air conditioner, heat pump, or HVAC system (actual size: 23.38" x 23.38" x 0.75") MERV 8 synthetic media (comparable with MPR 600 & FPR 5) protects homes from dust, pollen, and more by trapping 90% of airborne particles without impacting air flow Electrostatically charged, pleated filters capture more harmful particles, last 3x longer than fiberglass models, and are 100% manufactured within the United States Industrial grade beverage board (recyclable) frames with dual wire backings improve structural integrity and outperform standard cardboard designs item: PLEATED HVAC FURNACE AIR FILTER, MERV 8, 24X24X1, PACKAGE OF 4 by Filterbuy, Inc.; oem: Filterbuy, Inc.; oem_number: AFB24X24X1M8PK4; condition: New OEM Original; warranty: Mfr Warranty; product_type: Air Filter; package_quantity: 4; color: Silver; compatible_devices: Air Conditioner, Furnace, Heat Pump, Air Cleaner, HVAC System; country_of_origin: USA; depth: 0.75 in; design: Pleated; finish_type: Electrostatic; length: 23.38 in; merv_rating: 8; materials: ['Plastic', 'Aluminum', 'Polypropylene']; nominal_size_(w_x_l_x_d): 24 x 24 x 1 in; specific_uses_for_product: Commercial/Residential; upc_code: 717267052085; width: 23.38 in~|~54.99~|~USA~|~package~|~4~|~717267052085~|~~|~Facility Maintenance > HVAC & Refrigeration > Air Filters > Pleated Air Filters~|~https://www.partssource.com/parts/filterbuy-inc/afb24x24x1m8pk4~|~In Stock~|~2026-05-05~|~~|~~|~
PartsSource~|~Walter~|~Walter~|~A1263-9.8~|~V18645-29GL48~|~JOBBER DRILL 9.80MM CARBIDE by Walter~|~item: JOBBER DRILL 9.80MM CARBIDE by Walter; oem: Walter; oem_number: A1263-9.8; condition: New OEM Original; warranty: Mfr Warranty~|~176.72~|~~|~each~|~1~|~~|~~|~Facility Maintenance > Metalworking & Fabrication > Machining > Drilling & Holemaking > Drill Bits > Metalworking Drill Bits > Jobber Length Drill Bits~|~https://www.partssource.com/parts/walter/a126398~|~In Stock~|~2026-05-05~|~~|~~|~
